학원명,주소,Latitude,Longitude,정원합계,일시수용능력인원합계
양파아카데미학원,서울특별시 강남구 삼성로 212,37.4974176,127.0653272,94,36
세븐에듀원격학원,서울특별시 서초구 헌릉로 176,37.4564772,127.0593952,584000,2000
효성수학학원,서울특별시 강남구 삼성로 233,37.4977699,127.0606416,90,145
최상위수학교습소,서울특별시 강남구 삼성로 212,37.4974176,127.0653272,16,5
압구정예원미술교습소,서울특별시 강남구 압구정로29길 72-1,37.5322852,127.0283977,5,9
이투스원격학원,서울특별시 강남구 영동대로 302,37.5016415,127.0677666,50190,50190
더브아카데미학원,서울특별시 강남구 삼성로95길 23,37.5074425,127.0539355,24,30
프라이머리수학대치학원,서울특별시 강남구 삼성로 338,37.5018392,127.0597125,390,151
논리정연수학교습소,서울특별시 강남구 삼성로76길 31,37.5046893,127.0608171,30,5
소리하라/보이스펙트보컬아카데미학원,서울특별시 강남구 강남대로110길 26,37.5036062,127.0269675,2,11
그림숲키즈어학원,서울특별시 강남구 논현로38길 32-5,37.4852139,127.0446505,210,125
안보라언어독해학원,서울특별시 강남구 삼성로57길 38,37.4974426,127.058037,250,81
대치영재학원,서울특별시 강남구 삼성로71길 14,37.5022183,127.0577128,300,77
로사피아노교습소,서울특별시 강남구 자곡로 21,37.4667789,127.0929671,20,5
더블유(W)액팅연기학원,서울특별시 강남구 압구정로4길 11,37.5220956,127.0203446,131,49
강남천년의미소예비관미술학원,서울특별시 강남구 선릉로86길 6-5,37.5028138,127.0506214,2750,50
토즈도곡이(2)스마트독서실,서울특별시 강남구 언주로 311,37.4952625,127.045625,328,82
다독독서실,서울특별시 강남구 삼성로69길 11,37.501608,127.0584095,399,148
에스에프필름컴퓨터아트학원,서울특별시 강남구 논현로79길 71,37.4957379,127.0332593,276,50
미래탐구청은2관학원,서울특별시 강남구 도곡로 434,37.4976364,127.0579549,1025,155
긍정영어교습소,서울특별시 강남구 도곡로 413,37.4975956,127.0557613,18,6
준오아카데미미용학원,서울특별시 강남구 삼성로 710,37.5195567,127.0501612,324,30
이공자피아노교습소,서울특별시 강남구 역삼로 315,37.5005462,127.0503306,2,2
크레버스원격학원,서울특별시 강남구 테헤란로 521,37.5090474,127.060893,279982,0
에꼴드릴리놀이학원,서울특별시 강남구 언주로 337,37.4977905,127.044094,36,61
와이비엠영어(YBM English)영어교습소,서울특별시 강남구 삼성로 212,37.4974176,127.0653272,52,7
케이뎀(KDEM)전자실용음악학원,서울특별시 강남구 봉은사로7길 13,37.5063616,127.0272445,70,48
뮤직기타음악교습소,서울특별시 강남구 도산대로101길 29,37.526923,127.0530712,23,4
생담수수학교습소,서울특별시 강남구 학동로 415,37.5182626,127.0454753,54,9
하이매쓰학원,서울특별시 강남구 도곡로 409,37.4973819,127.0551699,346,207
한솔강남브레인학원,서울특별시 강남구 압구정로28길 22-5,37.5250123,127.0271808,25,109
에스이(SE)원격학원,서울특별시 강남구 강남대로94길 71-9,37.5012184,127.032793,8000,0
스마트학원,서울특별시 강남구 논현로8길 53,37.4748837,127.0528496,12,75
포이음악학원,서울특별시 강남구 개포로22길 90,37.4750114,127.0527234,240,34
보컬프렌즈실용음악학원,서울특별시 강남구 선릉로129길 16,37.5163586,127.0402263,79,54
꿈의수학교습소,서울특별시 강남구 삼성로 151,37.4921261,127.0625653,30,5
엠티엠연기학원(MTM연기학원),서울특별시 강남구 압구정로36길 18,37.5273897,127.031324,90,181
예원음악교습소,서울특별시 강남구 양재대로33길 25,37.4910937,127.0824284,27,9
에이아이아이(Aii)미술학원,서울특별시 강남구 언주로157길 26,37.5240945,127.030768,16,53
엠뮤직아카데미피아노교습소,서울특별시 강남구 봉은사로7길 38,37.5080893,127.0272291,12,4
보카퍼스트학원,서울특별시 강남구 도곡로93길 9,37.5008373,127.0645016,60,82
피아노이야기학원,서울특별시 강남구 개포로22길 104,37.4755914,127.053641,290,51
에스원(S1)아카데미학원,서울특별시 강남구 역삼로3길 17,37.4946226,127.031054,70,20
키즈스피치마루지웅변학원,서울특별시 강남구 선릉로 225,37.4953404,127.0526522,180,48
세화학원,서울특별시 강남구 도곡로77길 5,37.4986723,127.058384,90,71
선아국어논술학원,서울특별시 강남구 압구정로28길 25,37.5249358,127.0278206,225,68
아뜰리에수목유학미술학원,서울특별시 강남구 도산대로27길 26,37.5213596,127.0275947,5,11
김영일교육컨설팅학원,서울특별시 강남구 도곡로 155,37.4914239,127.0368158,30,30
개념의미학김민준수학교습소,서울특별시 강남구 삼성로 305,37.4992852,127.0603595,8,4
첼로관현악음악교습소,서울특별시 강남구 도산대로101길 29,37.526923,127.0530712,12,4
아트본(Art本)미술학원,서울특별시 강남구 남부순환로359길 27,37.4865226,127.035873,81,53
백중에이(A)학원,서울특별시 강남구 도곡로 528,37.4950878,127.0476626,40,96
지오스터디학원,서울특별시 강남구 남부순환로 2936,37.4933573,127.0619092,56,72
한솔에너지아카데미학원,서울특별시 강남구 강남대로42길 13,37.4855463,127.0351487,1761,231
선경제니스어학원,서울특별시 강남구 남부순환로 2936,37.4933573,127.0619092,1340,402
지엘아이진학컨설팅학원,서울특별시 강남구 도곡로 405,37.4974385,127.0546376,77,74
뮤엠영어세곡학원,서울특별시 강남구 헌릉로570길 34,37.4631419,127.1034644,150,70
열린스마트학원,서울특별시 강남구 일원로5길 30,37.4915382,127.0831998,54,69
아레테아카데미(Arete Academy)학원,서울특별시 강남구 도산대로27길 25,37.5215747,127.0272808,60,74
리더스어학원,서울특별시 강남구 논현로168길 18,37.5238067,127.0296884,215,60
루산보습학원,서울특별시 강남구 언주로167길 33-4,37.5260366,127.0302465,50,81
비티씨아카데미학원,서울특별시 강남구 논현로145길 28,37.5174635,127.0264711,70,63
대치이화무용학원,서울특별시 강남구 선릉로72길 6-13,37.4992335,127.0522221,20,63
안테나미술학원,서울특별시 강남구 선릉로86길 10,37.5030598,127.0506839,9120,55
더코어패러다임학원,서울특별시 강남구 역삼로 536,37.5037491,127.0617296,8,70
이오영어랩영어교습소,서울특별시 강남구 논현로175길 25,37.5254304,127.0266876,8,4
김필립수학전문원격학원,서울특별시 강남구 도곡로 413,37.4975956,127.0557613,6,0
박희종논술학원,서울특별시 강남구 도곡로 414,37.4968866,127.0558815,155,74
빨간펜수학의달인포이초점수학교습소,서울특별시 강남구 개포로22길 102,37.4755085,127.05351,8,8
청남수학교습소,서울특별시 강남구 논현로161길 33,37.5231565,127.0255159,12,6
수찬학원,서울특별시 강남구 삼성로 311,37.4996418,127.0601672,322,105
