,노드링크 유형,시군구명,읍면동명,위도,경도
0,LINK,강남구,역삼동,37.502282824076026,127.04260922925265
1,NODE,강남구,도곡동,37.48634860944576,127.05296109655878
2,NODE,강남구,도곡동,37.486167945441835,127.05266515854537
3,NODE,강남구,도곡동,37.48888165268211,127.05383024400355
4,NODE,강남구,삼성동,37.51410956560504,127.0607333539185
5,NODE,강남구,도곡동,37.48762093503802,127.05321473093653
6,NODE,강남구,도곡동,37.48870533136505,127.05405413687318
7,LINK,강남구,수서동,37.48732055681636,127.10133768151088
8,LINK,강남구,수서동,37.48385760962084,127.0867434374282
9,NODE,강남구,대치동,37.489634180452875,127.05594068509416
10,NODE,강남구,대치동,37.49205719772128,127.0582958779063
11,NODE,강남구,도곡동,37.4909665529648,127.05502259710107
12,NODE,강남구,개포동,37.483576810573545,127.05970502660736
13,NODE,강남구,대치동,37.50573681427035,127.06522612197514
14,NODE,강남구,개포동,37.488483126454504,127.07406144354047
15,NODE,강남구,개포동,37.48342586553381,127.05950674944228
16,NODE,강남구,대치동,37.494657471134765,127.06295133756794
17,LINK,강남구,일원동,37.485571998789574,127.08313764196933
18,NODE,강남구,일원동,37.48664019585389,127.07570750164793
19,NODE,강남구,삼성동,37.512853108418305,127.0531056816933
20,NODE,강남구,논현동,37.52006080277592,127.03476350393674
21,NODE,강남구,역삼동,37.49882040398729,127.03127722225067
22,NODE,강남구,개포동,37.475897140874345,127.0582057090568
23,NODE,강남구,삼성동,37.51078370261916,127.04614446162144
24,NODE,강남구,삼성동,37.510535097254426,127.0439235724718
25,NODE,강남구,논현동,37.510452806349484,127.04366209247273
26,NODE,강남구,삼성동,37.51105609169039,127.04601247591924
27,NODE,강남구,논현동,37.50811289319638,127.03606885115914
28,NODE,강남구,압구정동,37.52879402846742,127.03746693514897
29,NODE,강남구,논현동,37.50918248794929,127.03320084696824
30,NODE,강남구,역삼동,37.507214052184175,127.03418532933547
31,LINK,강남구,세곡동,37.465043494550436,127.1079797195074
32,NODE,강남구,일원동,37.489053639258046,127.07430266425398
33,NODE,강남구,일원동,37.48875749344055,127.07447528892351
34,LINK,강남구,역삼동,37.498645446539335,127.0444424244172
35,NODE,강남구,청담동,37.52643225415566,127.04544847761018
36,NODE,강남구,역삼동,37.507098614464574,127.03371845510802
37,LINK,강남구,논현동,37.51410590017795,127.03045786028838
38,NODE,강남구,청담동,37.526704532249035,127.04560093828424
39,NODE,강남구,청담동,37.52368460430242,127.04485740791085
40,NODE,강남구,논현동,37.507366411920586,127.03358930142629
41,LINK,강남구,개포동,37.47930775436375,127.0508599931226
42,NODE,강남구,청담동,37.5241125939445,127.04477433555
43,LINK,강남구,도곡동,37.48208374099955,127.04648219951945
44,NODE,강남구,대치동,37.50566373572458,127.0649445344917
45,LINK,강남구,역삼동,37.490663576793246,127.03477214375616
46,NODE,강남구,논현동,37.50676958465833,127.03155963807102
47,LINK,강남구,대치동,37.49648935208538,127.05264942709638
48,NODE,강남구,역삼동,37.49985801915224,127.03301328385206
49,NODE,강남구,역삼동,37.49943321729988,127.03318191522322
50,LINK,강남구,율현동,37.46856717926202,127.11967122005342
51,NODE,강남구,역삼동,37.495054677355945,127.0368910548959
52,LINK,강남구,삼성동,37.508039775602526,127.04565673336035
53,LINK,강남구,도곡동,37.48754823666458,127.03290820810638
54,LINK,강남구,도곡동,37.48648370774532,127.05279749029607
55,LINK,강남구,역삼동,37.5003483277858,127.04363861418813
56,LINK,강남구,개포동,37.481368383669405,127.05393991938385
57,NODE,강남구,대치동,37.49436934832448,127.06358012073346
58,LINK,강남구,삼성동,37.51257029411148,127.05113265713243
59,LINK,강남구,역삼동,37.49131288904813,127.03687772596639
60,LINK,강남구,도곡동,37.484887930111746,127.04615366855869
61,NODE,강남구,역삼동,37.50651093974809,127.0317031654745
62,NODE,강남구,논현동,37.512359792114275,127.02503034013841
63,NODE,강남구,율현동,37.46803649827707,127.12165153747985
64,LINK,강남구,삼성동,37.50919296125164,127.06334113018563
65,NODE,강남구,대치동,37.49475393689417,127.0633736429606
66,LINK,강남구,수서동,37.48427506473421,127.10460929814762
67,LINK,강남구,일원동,37.49187094478915,127.08232754054964
68,NODE,강남구,삼성동,37.51529363111205,127.04214980353957
69,NODE,강남구,역삼동,37.497986742857655,127.04336488440184
70,NODE,강남구,논현동,37.51310673524558,127.02048553749074
71,NODE,강남구,논현동,37.51385508965904,127.02049436105742
72,NODE,강남구,역삼동,37.49562007801128,127.03257883848106
73,NODE,강남구,역삼동,37.49944994493751,127.04720907544787
74,NODE,강남구,논현동,37.511113169405334,127.02181514633527
75,NODE,강남구,대치동,37.50071836967743,127.05110159401887
76,LINK,강남구,신사동,37.52166488882467,127.03359265739009
77,NODE,강남구,역삼동,37.496074577914676,127.03935744833586
78,LINK,강남구,역삼동,37.50226010800355,127.03607052388536
79,LINK,강남구,개포동,37.47822543800681,127.04485023693029
80,LINK,강남구,일원동,37.482840588222764,127.07976601611053
81,LINK,강남구,수서동,37.48845340260905,127.10589407659046
82,LINK,강남구,세곡동,37.46451032967535,127.10790143258086
83,NODE,강남구,대치동,37.494836315670646,127.06339094623792
84,NODE,강남구,역삼동,37.4935706268486,127.04015748652921
85,NODE,강남구,역삼동,37.49578846520804,127.03948655235843
86,NODE,강남구,역삼동,37.49266177841137,127.04100429750325
87,LINK,강남구,개포동,37.4889240600653,127.06583832304132
88,LINK,강남구,삼성동,37.51272944263341,127.05329233672138
89,NODE,강남구,역삼동,37.494721059915776,127.03521348275407
90,NODE,강남구,삼성동,37.51431266555132,127.05962776321871
91,LINK,강남구,개포동,37.48621714807523,127.07518150826846
92,NODE,강남구,역삼동,37.49585728221049,127.03900403924557
93,NODE,강남구,삼성동,37.513270582625125,127.0535182507802
94,LINK,강남구,개포동,37.489447840334414,127.06891250048987
95,LINK,강남구,역삼동,37.499182121056656,127.03080054725926
96,NODE,강남구,역삼동,37.49367807532727,127.04049072320976
97,NODE,강남구,역삼동,37.49429705690815,127.03341983532884
98,NODE,강남구,수서동,37.487275782451185,127.10217319001796
99,LINK,강남구,수서동,37.48727263004209,127.10118252942912
100,LINK,강남구,대치동,37.50523540502634,127.06561636974274
101,NODE,강남구,도곡동,37.488307751180564,127.05266091667102
102,NODE,강남구,대치동,37.506705531160165,127.05614769255222
103,NODE,강남구,역삼동,37.49307086932273,127.04258998150853
104,NODE,강남구,역삼동,37.5057747058874,127.0482829865164
105,NODE,강남구,삼성동,37.50588217133569,127.04851861724858
106,NODE,강남구,신사동,37.52623955878115,127.02867428959976
107,NODE,강남구,신사동,37.527184704763144,127.02876947747693
108,NODE,강남구,대치동,37.495852771908474,127.06275989562285
109,LINK,강남구,청담동,37.52328872206021,127.04163325108999
110,LINK,강남구,대치동,37.504958665326804,127.06530013429216
111,LINK,강남구,압구정동,37.52361018930308,127.02107779915863
112,NODE,강남구,신사동,37.52690106689398,127.0281817362699
113,LINK,강남구,개포동,37.47564426497697,127.0587214426772
114,NODE,강남구,역삼동,37.497163315818504,127.04211205601439
115,NODE,강남구,역삼동,37.49791441760326,127.03811027532304
116,LINK,강남구,자곡동,37.475300252679546,127.10613305603604
117,LINK,강남구,삼성동,37.51513511708952,127.06607160462873
118,NODE,강남구,압구정동,37.52711394393749,127.0280036583833
119,LINK,강남구,일원동,37.49656345494877,127.08820762084477
120,NODE,강남구,대치동,37.48900796503229,127.05730140069673
121,NODE,강남구,도곡동,37.48892966788567,127.05392792822981
122,NODE,강남구,세곡동,37.463807521320184,127.10199064034208
123,NODE,강남구,세곡동,37.46393340483667,127.10197645586182
124,NODE,강남구,대치동,37.498034685795936,127.05874658418908
125,LINK,강남구,대치동,37.496408442416694,127.07028660770901
126,NODE,강남구,세곡동,37.463492463267734,127.10374156993618
127,LINK,강남구,개포동,37.48117407128353,127.05346594009052
128,NODE,강남구,개포동,37.48968799290706,127.06916259214827
129,LINK,강남구,청담동,37.52287079475246,127.03906711480302
130,NODE,강남구,압구정동,37.52614632831537,127.0260866864963
131,NODE,강남구,신사동,37.52166968667046,127.028390537545
132,NODE,강남구,역삼동,37.50458915556814,127.04847756334297
133,NODE,강남구,역삼동,37.49856740170981,127.04505994873965
134,LINK,강남구,삼성동,37.50900568303943,127.06262276669138
135,LINK,강남구,세곡동,37.46329123565573,127.10355180127594
136,NODE,강남구,역삼동,37.49730981817647,127.04201447759505
137,LINK,강남구,일원동,37.48310331505526,127.08373516258402
138,NODE,강남구,청담동,37.52464615528772,127.05275109099559
139,NODE,강남구,대치동,37.5055057782299,127.0650305782642
140,NODE,강남구,대치동,37.50285409900293,127.04991379922429
141,LINK,강남구,청담동,37.523325070988804,127.05529884010085
142,NODE,강남구,신사동,37.523642959748294,127.02849975546121
143,NODE,강남구,신사동,37.52167892459974,127.02803999756784
144,NODE,강남구,대치동,37.49199383290608,127.06896223031369
145,NODE,강남구,도곡동,37.48360703534883,127.044326385018
146,NODE,강남구,대치동,37.504840000000016,127.06536000000001
147,NODE,강남구,도곡동,37.48424072149214,127.04497580262282
148,NODE,강남구,도곡동,37.485011474203304,127.04625138923282
149,NODE,강남구,도곡동,37.48317559303247,127.04739899029374
150,NODE,강남구,논현동,37.51994478422679,127.0343353372549
151,LINK,강남구,역삼동,37.50373663476228,127.0456934440318
152,NODE,강남구,개포동,37.48840808154288,127.06966916080177
153,LINK,강남구,개포동,37.49471684405146,127.07856048225568
154,LINK,강남구,대치동,37.5032208104471,127.05835491094747
155,NODE,강남구,논현동,37.52120943361872,127.03371313133911
156,NODE,강남구,개포동,37.48610031704063,127.06726607285894
157,LINK,강남구,대치동,37.5055057782299,127.0650305782642
158,NODE,강남구,역삼동,37.493326394299274,127.03013654895506
159,LINK,강남구,일원동,37.48954287938428,127.07511163803827
160,LINK,강남구,논현동,37.51372094327945,127.03065647967827
161,NODE,강남구,논현동,37.512124049441844,127.0251336872847
162,LINK,강남구,개포동,37.48192023334588,127.06171008128196
163,NODE,강남구,삼성동,37.51336319828103,127.05613560908473
164,LINK,강남구,역삼동,37.497245737136176,127.03180220935086
165,LINK,강남구,일원동,37.49119351765751,127.08059212041253
166,LINK,강남구,삼성동,37.51963,127.05729000000001
167,NODE,강남구,논현동,37.50647965330268,127.02359632355508
168,NODE,강남구,삼성동,37.512833408415155,127.05365296810562
169,NODE,강남구,논현동,37.50634232748862,127.02365948015687
170,NODE,강남구,논현동,37.50475040179612,127.02481378642129
171,NODE,강남구,청담동,37.52230000000001,127.05582
172,NODE,강남구,역삼동,37.49445415177769,127.0397386090727
173,NODE,강남구,논현동,37.50655284317942,127.02381467387265
174,NODE,강남구,일원동,37.490566878419244,127.07709155024945
175,NODE,강남구,역삼동,37.50349011524793,127.03549373325409
176,NODE,강남구,자곡동,37.48215776618082,127.10503711503772
177,NODE,강남구,논현동,37.51410590017795,127.03045786028838
178,LINK,강남구,도곡동,37.48963532209666,127.05574242261329
179,NODE,강남구,수서동,37.48845340260905,127.10589407659046
180,NODE,강남구,일원동,37.48963418188938,127.0754879717765
181,LINK,강남구,대치동,37.49651893630899,127.05302285242041
182,LINK,강남구,삼성동,37.506705531160165,127.05614769255222
183,NODE,강남구,대치동,37.50523540502634,127.06561636974274
184,NODE,강남구,논현동,37.514874130402816,127.03314159770214
185,LINK,강남구,역삼동,37.50107261056196,127.02642655278086
186,LINK,강남구,일원동,37.49248511451403,127.07643866292759
187,LINK,강남구,세곡동,37.4668743342248,127.10161640525631
188,NODE,강남구,청담동,37.52321766627762,127.05496257701215
189,NODE,강남구,청담동,37.523325070988804,127.05529884010085
190,NODE,강남구,삼성동,37.508573173848326,127.05591727975589
191,NODE,강남구,역삼동,37.501542218457814,127.04007738668493
192,LINK,강남구,개포동,37.486519566436705,127.06848703160674
193,LINK,강남구,개포동,37.47918860499403,127.0642851669155
194,LINK,강남구,역삼동,37.50784280451506,127.03619799615988
195,LINK,강남구,역삼동,37.49578846520804,127.03948655235843
196,LINK,강남구,자곡동,37.47096733307677,127.09220758080308
197,LINK,강남구,수서동,37.48737093216092,127.10130615765061
198,NODE,강남구,대치동,37.50506377479012,127.0655961108409
199,LINK,강남구,삼성동,37.51462,127.06004000000001
200,NODE,강남구,삼성동,37.50693370856093,127.04745550829485
