노드링크 유형,시군구명,읍면동명,경도,위도
LINK,노원구,중계동,127.07663041,37.647947719
NODE,노원구,중계동,127.07291031,37.651303076
LINK,노원구,중계동,127.07473785,37.656517546
LINK,노원구,중계동,127.06711572,37.644412124
NODE,노원구,중계동,127.08058071,37.648155388
LINK,노원구,중계동,127.07490185,37.657936959
NODE,노원구,중계동,127.064844,37.638214115
NODE,노원구,중계동,127.08302171,37.644228319
NODE,노원구,중계동,127.08326706,37.644223388
NODE,노원구,중계동,127.07349223,37.652485083
NODE,노원구,중계동,127.0737532,37.652400965
NODE,노원구,중계동,127.07631073,37.644584978
NODE,노원구,중계동,127.07799685,37.654400423
NODE,노원구,중계동,127.06503238,37.643483011
NODE,노원구,중계동,127.06564288,37.641234324
NODE,노원구,중계동,127.06733991,37.644174073
NODE,노원구,중계동,127.06713938,37.644107569
NODE,노원구,중계동,127.06701096,37.644381254
NODE,노원구,중계동,127.06323615,37.641368105
NODE,노원구,중계동,127.06303504,37.641299695
NODE,노원구,중계동,127.06335037,37.640591515
NODE,노원구,중계동,127.06722047,37.644442995
LINK,노원구,중계동,127.06853457,37.65059868
NODE,노원구,중계동,127.08079915,37.648102664
NODE,노원구,중계동,127.07571506,37.662437685
NODE,노원구,중계동,127.07599661,37.662442072
NODE,노원구,중계동,127.07737541,37.652165436
NODE,노원구,중계동,127.07699559,37.650766432
NODE,노원구,중계동,127.07676946,37.647570459
NODE,노원구,중계동,127.07644167,37.647513525
NODE,노원구,중계동,127.07679862,37.647975041
NODE,노원구,중계동,127.06682927,37.6453045
NODE,노원구,중계동,127.06329284,37.640486486
LINK,노원구,중계동,127.06485581,37.643439092
NODE,노원구,중계동,127.06337312,37.640317434
NODE,노원구,중계동,127.06356296,37.640646214
NODE,노원구,중계동,127.06354507,37.645829625
NODE,노원구,중계동,127.06371203,37.640321819
NODE,노원구,중계동,127.0634937,37.640267123
NODE,노원구,중계동,127.06403264,37.6390792
NODE,노원구,중계동,127.0639304,37.645959712
NODE,노원구,중계동,127.06652084,37.646237157
NODE,노원구,중계동,127.07646221,37.647920398
NODE,노원구,중계동,127.06467924,37.643395173
NODE,노원구,중계동,127.06649195,37.646084019
LINK,노원구,중계동,127.06333298,37.64040196
NODE,노원구,중계동,127.08097552,37.650500242
NODE,노원구,중계동,127.08120404,37.650266876
LINK,노원구,중계동,127.07809193,37.656519378
NODE,노원구,중계동,127.07489711,37.657636239
NODE,노원구,중계동,127.06664072,37.645254643
LINK,노원구,중계동,127.07528136,37.657708826
LINK,노원구,중계동,127.0775132,37.652095383
NODE,노원구,중계동,127.0660034,37.646267164
LINK,노원구,중계동,127.07660556,37.647541992
LINK,노원구,중계동,127.0750537,37.657604422
NODE,노원구,중계동,127.06625616,37.646017861
NODE,노원구,중계동,127.06610669,37.646038518
LINK,노원구,중계동,127.0682227,37.641945439
NODE,노원구,중계동,127.07317746,37.651545448
NODE,노원구,중계동,127.07272862,37.651473431
NODE,노원구,중계동,127.06386095,37.645208595
NODE,노원구,중계동,127.06174508,37.644712462
NODE,노원구,중계동,127.06191271,37.644800406
NODE,노원구,중계동,127.0617663,37.645047923
NODE,노원구,중계동,127.06366356,37.64530863
LINK,노원구,중계동,127.07648954,37.650673478
LINK,노원구,중계동,127.07818844,37.65339526
NODE,노원구,중계동,127.06601635,37.641343743
LINK,노원구,중계동,127.07555228,37.660567276
NODE,노원구,중계동,127.06437481,37.638083927
LINK,노원구,중계동,127.08098587,37.65058419
LINK,노원구,중계동,127.08061188,37.64772905
NODE,노원구,중계동,127.07793673,37.65646192
NODE,노원구,중계동,127.06890512,37.640698029
NODE,노원구,중계동,127.06845225,37.641698644
LINK,노원구,중계동,127.07395989,37.653647237
LINK,노원구,중계동,127.06083655,37.639688411
LINK,노원구,중계동,127.06183951,37.644924164
NODE,노원구,중계동,127.06985541,37.649090294
NODE,노원구,중계동,127.06152065,37.644688787
NODE,노원구,중계동,127.06832612,37.641972786
NODE,노원구,중계동,127.06671492,37.638849323
LINK,노원구,중계동,127.07004691,37.647894665
LINK,노원구,중계동,127.06792222,37.647717609
LINK,노원구,중계동,127.07068034,37.645454526
NODE,노원구,중계동,127.08098702,37.650292678
NODE,노원구,중계동,127.08110956,37.649695579
LINK,노원구,중계동,127.07305873,37.651606156
NODE,노원구,중계동,127.08088668,37.649723717
NODE,노원구,중계동,127.06059257,37.639866681
NODE,노원구,중계동,127.06078778,37.639766089
LINK,노원구,중계동,127.06345667,37.640618865
NODE,노원구,중계동,127.08102021,37.646502396
NODE,노원구,중계동,127.08183603,37.645925791
NODE,노원구,중계동,127.08194258,37.646092586
LINK,노원구,중계동,127.06641023,37.646313796
LINK,노원구,중계동,127.06163287,37.644700624
LINK,노원구,중계동,127.07323665,37.659301712
LINK,노원구,중계동,127.06834882,37.641659878
LINK,노원구,중계동,127.07675074,37.650830724
NODE,노원구,중계동,127.08099623,37.650668138
NODE,노원구,중계동,127.0798934,37.650685215
NODE,노원구,중계동,127.07990789,37.650521959
NODE,노원구,중계동,127.06444107,37.638168566
NODE,노원구,중계동,127.06068992,37.639505773
NODE,노원구,중계동,127.06088531,37.639610732
NODE,노원구,중계동,127.06465696,37.638234814
LINK,노원구,중계동,127.06938966,37.649076853
LINK,노원구,중계동,127.07667131,37.657277991
LINK,노원구,중계동,127.07817031,37.654702121
NODE,노원구,중계동,127.07159379,37.643205599
NODE,노원구,중계동,127.06824538,37.641621111
LINK,노원구,중계동,127.06582962,37.641289033
LINK,노원구,중계동,127.07510581,37.65799204
