노드링크 유형,시군구명,읍면동명,경도,위도
LINK,강남구,대치동,127.05717242,37.506908997
LINK,강남구,대치동,127.05395891,37.501563864
LINK,강남구,대치동,127.06737932,37.501475728
NODE,강남구,대치동,127.05738174,37.488909518
NODE,강남구,대치동,127.06945957,37.496624056
NODE,강남구,대치동,127.04929897,37.504323343
NODE,강남구,대치동,127.05090629,37.500752782
LINK,강남구,대치동,127.07614023,37.498345384
LINK,강남구,대치동,127.06338229,37.494795126
NODE,강남구,대치동,127.05117618,37.500574158
NODE,강남구,대치동,127.05106978,37.500395697
NODE,강남구,대치동,127.05855284,37.502863698
LINK,강남구,대치동,127.06154811,37.490133897
NODE,강남구,대치동,127.05292649,37.505475777
LINK,강남구,대치동,127.05078274,37.500710497
NODE,강남구,대치동,127.05721069,37.506813155
LINK,강남구,대치동,127.06187767,37.497073038
NODE,강남구,대치동,127.07266253,37.497491083
NODE,강남구,대치동,127.06357923,37.508780894
LINK,강남구,대치동,127.06752206,37.500500722
LINK,강남구,대치동,127.05975169,37.489773633
LINK,강남구,대치동,127.05584155,37.489634751
LINK,강남구,대치동,127.06299706,37.494373666
LINK,강남구,대치동,127.06951557,37.49660457
NODE,강남구,대치동,127.06321712,37.50862089
NODE,강남구,대치동,127.06325727,37.508547635
LINK,강남구,대치동,127.06293981,37.508524919
NODE,강남구,대치동,127.06773537,37.501317614
NODE,강남구,대치동,127.06791301,37.50081403
LINK,강남구,대치동,127.06477456,37.505105422
NODE,강남구,대치동,127.06757971,37.500722679
NODE,강남구,대치동,127.06765999,37.500548703
NODE,강남구,대치동,127.06738414,37.500452742
NODE,강남구,대치동,127.06720624,37.500672544
NODE,강남구,대치동,127.06725288,37.501423164
NODE,강남구,대치동,127.0673217,37.501290388
NODE,강남구,대치동,127.06697687,37.501153271
LINK,강남구,대치동,127.06709724,37.500841959
LINK,강남구,대치동,127.06357924,37.508796914
LINK,강남구,대치동,127.0611726,37.49896032
LINK,강남구,대치동,127.04913376,37.504274208
LINK,강남구,대치동,127.06810738,37.4915801
LINK,강남구,대치동,127.06519783,37.504790699
NODE,강남구,대치동,127.05861835,37.489388579
NODE,강남구,대치동,127.05977605,37.489708397
NODE,강남구,대치동,127.05855526,37.489507615
NODE,강남구,대치동,127.05972733,37.489838869
NODE,강남구,대치동,127.05808932,37.492368543
NODE,강남구,대치동,127.06692078,37.495419452
NODE,강남구,대치동,127.04945703,37.504423974
NODE,강남구,대치동,127.05188406,37.498722177
LINK,강남구,대치동,127.06363452,37.508773999
LINK,강남구,대치동,127.0646935,37.491035677
LINK,강남구,대치동,127.06894403,37.498228635
LINK,강남구,대치동,127.05277803,37.501186786
NODE,강남구,대치동,127.05764049,37.505380312
NODE,강남구,대치동,127.06206873,37.497133584
NODE,강남구,대치동,127.0616866,37.497012491
LINK,강남구,대치동,127.05675378,37.506623139
NODE,강남구,대치동,127.06503566,37.504741399
LINK,강남구,대치동,127.05931502,37.507573612
LINK,강남구,대치동,127.0624555,37.499388752
NODE,강남구,대치동,127.0580722,37.504568809
LINK,강남구,대치동,127.05300998,37.496092698
LINK,강남구,대치동,127.07000646,37.496307912
LINK,강남구,대치동,127.04978882,37.502826689
LINK,강남구,대치동,127.0581926,37.492212871
LINK,강남구,대치동,127.05483847,37.496920893
LINK,강남구,대치동,127.06323719,37.508584262
LINK,강남구,대치동,127.05531573,37.491202138
LINK,강남구,대치동,127.06067771,37.498819447
NODE,강남구,대치동,127.06238064,37.495720236
LINK,강남구,대치동,127.06338503,37.490378946
LINK,강남구,대치동,127.05682838,37.488862405
LINK,강남구,대치동,127.05788543,37.504505965
LINK,강남구,대치동,127.0654427,37.490823572
LINK,강남구,대치동,127.06985312,37.496666162
LINK,강남구,대치동,127.0631136,37.508547635
NODE,강남구,대치동,127.06292399,37.508497464
LINK,강남구,대치동,127.06761985,37.500635691
NODE,강남구,대치동,127.06295563,37.508552373
NODE,강남구,대치동,127.06368982,37.508767103
LINK,강남구,대치동,127.05539122,37.502036932
NODE,강남구,대치동,127.06530013,37.504958665
NODE,강남구,대치동,127.06202187,37.504285309
NODE,강남구,대치동,127.06642301,37.509658419
NODE,강남구,대치동,127.05934451,37.501392907
NODE,강남구,대치동,127.06698824,37.501011374
NODE,강남구,대치동,127.06750575,37.501528293
NODE,강남구,대치동,127.05440972,37.493397286
NODE,강남구,대치동,127.05892637,37.502980229
LINK,강남구,대치동,127.05234563,37.497453541
NODE,강남구,대치동,127.05846958,37.502916376
NODE,강남구,대치동,127.05835491,37.50322081
LINK,강남구,대치동,127.05873961,37.502921963
LINK,강남구,대치동,127.05745372,37.505317468
NODE,강남구,대치동,127.05970368,37.501523173
NODE,강남구,대치동,127.06450334,37.500236275
NODE,강남구,대치동,127.06209932,37.504157109
NODE,강남구,대치동,127.06795331,37.500905549
NODE,강남구,대치동,127.06483192,37.50499554
LINK,강남구,대치동,127.06347688,37.494561643
