학원명,주소,Latitude,Longitude,정원합계,일시수용능력인원합계
수서엘리트독서실,서울특별시 강남구 광평로 61,37.4828458,127.0793538,101,98
삼성탑독서실,서울특별시 강남구 삼성로115길 45,37.513846,127.0485817,154,112
하우스터디대청센터독서실,서울특별시 강남구 개포로109길 34,37.4942156,127.077617,170,170
생각하는수학학원,서울특별시 강남구 삼성로64길 51,37.5011262,127.0644719,63,218
수학과표현학원,서울특별시 강남구 삼성로 38,37.4886736,127.0668063,45,138
대치페르마정석학원,서울특별시 강남구 삼성로57길 39,37.4971795,127.0580656,30,102
엘리트어학학원,서울특별시 강남구 논현로168길 36,37.5232127,127.0309526,144,165
피아노블러바드뮤직스쿨(Piano Boulevard Music School)음악학원,서울특별시 강남구 압구정로 112,37.523197,127.0210702,20,72
최강보습학원,서울특별시 강남구 압구정로29길 72-1,37.5322852,127.0283977,40,438
란이화무용학원,서울특별시 강남구 압구정로34길 14,37.5272356,127.0305764,50,60
솔로몬사고력영어학원,서울특별시 강남구 광평로10길 15,37.482024,127.0821324,80,228
삼화학원,서울특별시 강남구 도산대로6길 8,37.5161307,127.0214259,10,50
두각세림관학원,서울특별시 강남구 도곡로 422,37.4972615,127.0567378,1080,88
스카이학원,서울특별시 강남구 선릉로 664,37.5158959,127.0422861,42,225
예당독서실,서울특별시 강남구 선릉로 664,37.5158959,127.0422861,791,113
상아학원,서울특별시 강남구 도곡로 440,37.4978753,127.058633,214,105
한국스카이학원,서울특별시 강남구 도곡로63길 12,37.4978196,127.0546022,110,218
피에스에이개포어학학원,서울특별시 강남구 개포로 408,37.4858037,127.0634758,100,801
청운보습학원,서울특별시 강남구 언주로167길 33-4,37.5260366,127.0302465,24,73
노리안강남수서학원,서울특별시 강남구 밤고개로1길 22,37.4885197,127.1027011,50,50
마음의눈미술학원,서울특별시 강남구 논현로157길 10,37.5225079,127.0272629,30,30
시리우스수학학원,서울특별시 강남구 역삼로 536,37.5037491,127.0617296,1405,115
