,영업상태명,도로명주소,업태구분명,위도,경도
64,영업/정상,"서울특별시 강남구 영동대로 511 (삼성동,몬덱스1층)",패스트푸드,37.5103975,127.0611934
65,영업/정상,"서울특별시 강남구 테헤란로64길 18, 지상1층,지상2층 (대치동)",커피숍,37.503783,127.0512058
66,영업/정상,"서울특별시 강남구 남부순환로 2931 (대치동,동해상가105호)",편의점,37.4938027,127.0608597
67,영업/정상,"서울특별시 강남구 영동대로 511 (삼성동,한무컨벤션부속동지하2층월드푸드코트1호)",패스트푸드,37.5103975,127.0611934
68,영업/정상,"서울특별시 강남구 테헤란로34길 7, 지상1층 (역삼동, 외1필지 )",편의점,37.5010982,127.0402477
69,영업/정상,"서울특별시 강남구 논현로 841 (신사동,지상1층)",편의점,37.5240574,127.0279161
70,영업/정상,"서울특별시 강남구 강남대로78길 24 (역삼동,지상1층)",편의점,37.4952167,127.0313495
71,영업/정상,서울특별시 강남구 일원로 28 (일원동),패스트푸드,37.4912691,127.0793073
72,영업/정상,"서울특별시 강남구 도산대로 118 (논현동,지상1층)",패스트푸드,37.5166679,127.0217279
73,영업/정상,,패스트푸드,0.0,0.0
74,영업/정상,"서울특별시 강남구 강남대로152길 26, 지상1층 (신사동)",편의점,37.5175626,127.0215687
75,영업/정상,"서울특별시 강남구 영동대로 511 (삼성동,코엑스몰지하1층W11A)",패스트푸드,37.5103975,127.0611934
76,영업/정상,"서울특별시 강남구 압구정로 343 (압구정동,지하1층)",패스트푸드,37.5285614,127.0400548
77,영업/정상,"서울특별시 강남구 테헤란로13길 22-10 (역삼동,지하1층)",패스트푸드,37.501601,127.0323415
78,영업/정상,"서울특별시 강남구 논현로132길 15 (논현동,지상1층)",편의점,37.5153052,127.0317835
79,영업/정상,"서울특별시 강남구 학동로6길 30 (논현동,지상1층)",패스트푸드,37.5101517,127.0249673
80,영업/정상,"서울특별시 강남구 논현로67길 64 (역삼동,지상1층)",패스트푸드,37.4928732,127.0347036
81,영업/정상,"서울특별시 강남구 삼성로115길 46 (삼성동,지상1층)",편의점,37.5140146,127.0483999
82,영업/정상,"서울특별시 강남구 역삼로 546 (대치동,지상1층)",편의점,37.5042425,127.0628906
83,영업/정상,"서울특별시 강남구 압구정로18길 5 (신사동,지상1층)",편의점,37.5246005,127.0244014
84,영업/정상,"서울특별시 강남구 강남대로162길 45 (신사동,지상1층)",편의점,37.5211282,127.0219944
85,영업/정상,"서울특별시 강남구 도곡로37길 16 (역삼동,지상1층)",편의점,37.4948089,127.0451301
86,영업/정상,"서울특별시 강남구 개포로20길 24-16 (개포동,지상1층)",편의점,37.4767489,127.0469827
87,영업/정상,"서울특별시 강남구 테헤란로 437 (삼성동,삼영빌딩지상1층)",패스트푸드,37.506682,127.054964
88,영업/정상,"서울특별시 강남구 역삼로63길 16 (대치동,지상1층)",편의점,37.5022254,127.0522735
89,영업/정상,"서울특별시 강남구 언주로71길 9 (역삼동,지상1층)",편의점,37.4973421,127.0442752
90,영업/정상,"서울특별시 강남구 논현로 546 (역삼동,지상1층)",편의점,37.5000776,127.0385419
91,영업/정상,"서울특별시 강남구 개포로24길 6 (개포동,지상1층)",편의점,37.4784585,127.048079
92,영업/정상,"서울특별시 강남구 테헤란로4길 25 (역삼동,지상1층)",패스트푸드,37.4968556,127.0304526
93,영업/정상,"서울특별시 강남구 논현로159길 11 (신사동,궁전빌딩지상1층102호)",패스트푸드,37.5229023,127.0271953
94,영업/정상,"서울특별시 강남구 강남대로 390 (역삼동,지하1층제1호)",편의점,37.4978461,127.0286372
95,영업/정상,"서울특별시 강남구 도곡로 511 (대치동,지상2층)",패스트푸드,37.4996664,127.0622284
96,영업/정상,"서울특별시 강남구 압구정로 165 (압구정동,현대백화점지하1층)",패스트푸드,37.5273268,127.0274265
97,영업/정상,"서울특별시 강남구 논현로 808, 2층 (신사동)",패스트푸드,37.5209178,127.0283945
98,영업/정상,"서울특별시 강남구 영동대로 511 (삼성동,세중께임월드엑스박스코엑스몰지하1층)",패스트푸드,37.5103975,127.0611934
99,영업/정상,"서울특별시 강남구 삼성로63길 21 (대치동,지상1층)",편의점,37.4994418,127.0584264
100,영업/정상,"서울특별시 강남구 선릉로 705 (논현동,지상1층)",패스트푸드,37.5136787,127.0317124
101,영업/정상,"서울특별시 강남구 테헤란로77길 7 (삼성동,동원빌딩1층)",편의점,37.506918,127.0544715
102,영업/정상,"서울특별시 강남구 봉은사로 179 (논현동,지상1층)",편의점,37.5074822,127.0334248
103,영업/정상,"서울특별시 강남구 남부순환로 2921 (대치동,남서울종합시장지상1층75호)",패스트푸드,37.4936059,127.0597001
104,영업/정상,"서울특별시 강남구 학동로88길 5 (삼성동,진흥(아)단지내상가104호)",패스트푸드,37.5187966,127.0536358
105,영업/정상,"서울특별시 강남구 영동대로 511 (삼성동,지상5층)",패스트푸드,37.5103975,127.0611934
106,영업/정상,"서울특별시 강남구 남부순환로 2747 (도곡동,지상1층)",패스트푸드,37.48859059999999,127.0452757
107,영업/정상,"서울특별시 강남구 삼성로85길 42 (대치동,대우아이빌멤버스지상1층101호)",편의점,37.5046324,127.053752
108,영업/정상,"서울특별시 강남구 남부순환로 2730 (도곡동,지상1층)",편의점,37.48859059999999,127.0452757
109,영업/정상,"서울특별시 강남구 삼성로 417 (대치동,지상1층106,109,112호)",패스트푸드,37.4991887,127.0633458
110,영업/정상,"서울특별시 강남구 도곡로77길 7 (대치동,지상1층)",편의점,37.4988033,127.0583171
111,영업/정상,"서울특별시 강남구 논현로 68 (개포동,지상1층)",패스트푸드,37.482393,127.0704376
112,영업/정상,"서울특별시 강남구 논현로12길 19-9 (개포동,지상1층)",편의점,37.4753706,127.0486574
113,영업/정상,"서울특별시 강남구 강남대로 430 (역삼동,지상4층)",패스트푸드,37.5000776,127.0385419
114,영업/정상,"서울특별시 강남구 강남대로 600 (논현동,지상1층)",편의점,37.5136787,127.0317124
115,영업/정상,"서울특별시 강남구 테헤란로 152 (역삼동,스타타워빌딩지하1층3-D호)",패스트푸드,37.4999704,127.0365737
116,영업/정상,"서울특별시 강남구 선릉로86길 31 (대치동,롯데골드로즈2 지상1층101호)",편의점,37.5041507,127.0520978
117,영업/정상,"서울특별시 강남구 테헤란로88길 10 (대치동,지상1층108호)",편의점,37.5068833,127.059437
118,영업/정상,"서울특별시 강남구 압구정로 165 (압구정동,현대백화점지하1층)",패스트푸드,37.5273268,127.0274265
119,영업/정상,"서울특별시 강남구 선릉로86길 31 (대치동,롯데골드로즈2 지하1층)",패스트푸드,37.5041507,127.0520978
120,영업/정상,"서울특별시 강남구 도산대로89길 9 (청담동,지상1층)",패스트푸드,37.5253041,127.0504943
121,영업/정상,"서울특별시 강남구 학동로6길 3 (논현동,203호)",패스트푸드,37.5114366,127.0237433
122,영업/정상,"서울특별시 강남구 강남대로 574 (논현동,전기공사공제조합지하2층)",편의점,37.5136787,127.0317124
123,영업/정상,"서울특별시 강남구 언주로147길 10, 1층 (논현동)",편의점,37.5200269,127.0333886
124,영업/정상,"서울특별시 강남구 역삼로4길 16 (역삼동,성우스타우스지상1층109호)",편의점,37.4924086,127.0320238
125,영업/정상,"서울특별시 강남구 강남대로 지하 396, 강남역지하상가B-28호 (역삼동)",패스트푸드,37.497952,127.027619
126,영업/정상,"서울특별시 강남구 남부순환로359길 21 (도곡동,지상1층)",패스트푸드,37.4862263,127.0360915
127,영업/정상,"서울특별시 강남구 광평로 63 (일원동,지상1층)",패스트푸드,37.4828777,127.0796221
128,영업/정상,"서울특별시 강남구 도산대로15길 7 (신사동,지상1층)",편의점,37.5187552,127.023813
129,영업/정상,"서울특별시 강남구 선릉로 520, 지상1층 (삼성동, 선릉빌딩)",패스트푸드,37.505996,127.048496
130,영업/정상,"서울특별시 강남구 도곡로63길 12 (대치동,신농프라자지상1층105호)",패스트푸드,37.4978224,127.0545751
131,영업/정상,"서울특별시 강남구 광평로 280 (수서동,로즈데일빌딩지하2층125호)",패스트푸드,37.48748,127.102753
132,영업/정상,"서울특별시 강남구 선릉로 641 (논현동,지상1층102호)",편의점,37.5136787,127.0317124
133,영업/정상,"서울특별시 강남구 양재대로33길 25, 지상1층 106호 (일원동)",패스트푸드,37.4910937,127.0824284
134,영업/정상,"서울특별시 강남구 논현로 732 (논현동,지상3층)",패스트푸드,37.5136787,127.0317124
135,영업/정상,"서울특별시 강남구 선릉로 511 (역삼동,화신빌딩1층)",패스트푸드,37.5050919,127.0484133
136,영업/정상,"서울특별시 강남구 역삼로 246, 지상1층 (역삼동)",패스트푸드,37.49755469999999,127.0431617
137,영업/정상,"서울특별시 강남구 강남대로94길 75 (역삼동,지상1층)",패스트푸드,37.500774,127.0333951
138,영업/정상,"서울특별시 강남구 논현로34길 21, 1층 101호 (도곡동)",패스트푸드,37.48478220000001,127.0436641
139,영업/정상,"서울특별시 강남구 역삼로 310, 한솔필리아 지상1층 109,135,136호 (역삼동)",패스트푸드,37.4991554,127.0483257
140,영업/정상,"서울특별시 강남구 밤고개로1길 10 (수서동,현대벤쳐빌지하2층244호)",패스트푸드,37.4880163,127.1018486
141,영업/정상,"서울특별시 강남구 남부순환로 2941 (대치동,지상1층113호)",패스트푸드,37.49422680000001,127.0617852
142,영업/정상,"서울특별시 강남구 테헤란로19길 10 (역삼동,지상1층)",편의점,37.5007785,127.0337136
143,영업/정상,"서울특별시 강남구 테헤란로 517 (삼성동,현대백화점 지하1층)",패스트푸드,37.5085949,127.0597186
144,영업/정상,"서울특별시 강남구 강남대로66길 7 (역삼동,지상1층)",편의점,37.4919158,127.031437
145,영업/정상,"서울특별시 강남구 언주로30길 57 (도곡동,타워팰리스2 지하1층)",패스트푸드,37.4897104,127.0544907
146,영업/정상,"서울특별시 강남구 논현로117길 23 (논현동,지상1층 우측코너)",패스트푸드,37.5091337,127.0309783
147,영업/정상,"서울특별시 강남구 남부순환로359길 26 (도곡동,남측1층)",패스트푸드,37.4864318,127.0362457
148,영업/정상,"서울특별시 강남구 선릉로86길 7 (대치동,지상1층2호)",패스트푸드,37.503303,127.0503179
149,영업/정상,"서울특별시 강남구 선릉로8길 15 (개포동,지상1층 101호)",패스트푸드,37.4833508,127.0618376
150,영업/정상,"서울특별시 강남구 봉은사로74길 10 (삼성동,지상1층 101호)",패스트푸드,37.5117539,127.0514993
151,영업/정상,"서울특별시 강남구 삼성로96길 20 (삼성동,한무컨벤션별관 지하2층 2A2호)",패스트푸드,37.5089267,127.0575687
152,영업/정상,"서울특별시 강남구 언주로 609 (논현동,지하1층 B1-4호)",패스트푸드,37.5136787,127.0317124
153,영업/정상,"서울특별시 강남구 영동대로 721 (청담동,리버뷰오피스텔 지상1층 102호)",패스트푸드,37.5221738,127.0553545
154,영업/정상,"서울특별시 강남구 양재대로55길 15 (일원동,지상1층103호)",패스트푸드,37.4918891,127.0874845
155,영업/정상,"서울특별시 강남구 논현로 828 (신사동,메디플렉스빌딩지하1층)",편의점,37.5224913,127.0285546
156,영업/정상,"서울특별시 강남구 압구정로 204 (신사동,대연빌딩1층)",패스트푸드,37.5273711,127.0294125
157,영업/정상,"서울특별시 강남구 선릉로157길 12 (신사동,지상2~4층)",커피숍,37.5261279,127.0390202
158,영업/정상,"서울특별시 강남구 논현로 841 (신사동,제이비미소빌딩 지상1층 115호)",패스트푸드,37.5240574,127.0279161
159,영업/정상,"서울특별시 강남구 영동대로 513, 지하2층 (삼성동, 코엑스아쿠아리움)",패스트푸드,37.513131,127.0582827
160,영업/정상,"서울특별시 강남구 개포로 218 (개포동,지상1층 103호)",패스트푸드,37.478468,127.046625
161,영업/정상,"서울특별시 강남구 논현로175길 78 (신사동,지상1층)",패스트푸드,37.5237141,127.0226746
162,영업/정상,"서울특별시 강남구 논현로10길 30 (개포동,지상1층)",패스트푸드,37.4749679,127.0509586
163,영업/정상,"서울특별시 강남구 선릉로 402 (대치동,지상1층 104,105호)",패스트푸드,37.4991887,127.0633458
164,영업/정상,"서울특별시 강남구 선릉로6길 8 (개포동,지상1층)",패스트푸드,37.4825696,127.0616917
165,영업/정상,"서울특별시 강남구 테헤란로 152 (역삼동,강남파이낸스센타 지하2층)",패스트푸드,37.499927,127.036789
166,영업/정상,"서울특별시 강남구 테헤란로 147, 성지하이츠Ⅱ 지하1층 8호 (역삼동)",패스트푸드,37.5009488,127.0355183
167,영업/정상,"서울특별시 강남구 언주로86길 11 (역삼동,한화진넥스빌 지상1층 106호)",편의점,37.501905,127.0443538
168,영업/정상,"서울특별시 강남구 논현로85길 13 (역삼동,지상1층)",편의점,37.4991126,127.0362553
169,영업/정상,"서울특별시 강남구 테헤란로8길 25 (역삼동,지상1층)",패스트푸드,37.4972898,127.032158
170,영업/정상,"서울특별시 강남구 압구정로34길 11 (신사동,압구정스퀘어상가 104호)",편의점,37.5275138,127.0308776
171,영업/정상,"서울특별시 강남구 강남대로78길 14 (역삼동,신화빌딩 3층)",패스트푸드,37.4949184,127.0305405
172,영업/정상,"서울특별시 강남구 압구정로80길 26 (청담동,노아빌딩 1층)",편의점,37.5247356,127.0446031
