지역구,발생년,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,경도,위도
강남구,2016,야,금,1,1,0,0,0,127.04254791,37.51360342
강남구,2016,야,금,1,1,0,0,0,127.05698321,37.51988863
강남구,2016,주,수,1,6,1,3,1,127.07270552,37.49142755
강남구,2016,야,화,1,1,0,0,0,127.03387663,37.5214672
강남구,2016,야,금,1,3,1,1,0,127.10612543,37.47559857
강남구,2016,야,수,1,3,1,1,0,127.06734518,37.50095345
강남구,2016,주,월,1,5,3,1,0,127.06737866,37.50103469
강남구,2016,주,금,1,4,0,2,1,127.05695957,37.5200598
강남구,2017,야,월,1,3,1,1,0,127.0275518,37.49794369
강남구,2017,야,수,1,1,0,0,0,127.02782299,37.51955031
강남구,2017,주,토,1,1,0,0,0,127.04509332,37.5230162
강남구,2017,야,수,1,3,2,0,0,127.03412275,37.50007897
강남구,2017,야,수,1,3,1,0,1,127.05919795,37.47618095
강남구,2017,야,월,1,1,0,0,0,127.09364184,37.49187097
강남구,2017,야,토,1,1,0,0,0,127.0763454,37.48387823
강남구,2017,야,목,1,1,0,0,0,127.0467723,37.52421245
강남구,2017,주,일,1,1,0,0,0,127.05197893,37.48432015
강남구,2017,야,금,1,1,0,0,0,127.04856997,37.47376123
강남구,2017,야,토,1,1,0,0,0,127.09274307,37.48447671
강남구,2017,주,수,1,4,0,3,0,127.11141783,37.48225915
강남구,2017,야,금,1,1,0,0,0,127.0248908,37.50368368
강남구,2017,야,금,1,1,0,0,0,127.03505694,37.5154508
강남구,2017,주,금,1,1,0,0,0,127.0486947,37.47370762
강남구,2017,야,토,1,1,0,0,0,127.05577254,37.52749152
강남구,2017,야,화,1,1,0,0,0,127.04596122,37.4955732
강남구,2017,주,월,1,1,0,0,0,127.05856194,37.51699217
강남구,2017,야,월,1,1,0,0,0,127.0518354,37.51591225
강남구,2018,주,토,1,4,3,0,0,127.0486312,37.52935729
강남구,2018,야,목,1,1,0,0,0,127.0357669,37.52871253
강남구,2018,야,목,1,1,0,0,0,127.0298078,37.49359011
강남구,2018,주,월,1,1,0,0,0,127.0550033,37.4893161
강남구,2018,야,목,1,1,0,0,0,127.0562528,37.50755531
강남구,2018,야,월,1,1,0,0,0,127.0440725,37.51782046
강남구,2018,야,일,1,1,0,0,0,127.0741741,37.48519452
강남구,2018,주,월,1,4,2,1,0,127.0280911,37.52010121
강남구,2018,야,화,1,1,0,0,0,127.0307211,37.51394641
강남구,2018,주,월,1,1,0,0,0,127.0613815,37.49346819
강남구,2018,야,수,1,1,0,0,0,127.0467622,37.494071
강남구,2018,주,일,1,1,0,0,0,127.0339317,37.53080546
강남구,2018,주,금,1,1,0,0,0,127.047329,37.50699867
강남구,2018,야,일,1,1,0,0,0,127.0561677,37.52192263
강남구,2018,야,화,1,1,0,0,0,127.0367526,37.51022959
강남구,2018,주,월,1,1,0,0,0,127.0745147,37.48757625
강남구,2018,야,토,1,1,0,0,0,127.1004472,37.48847802
강남구,2018,야,월,1,1,0,0,0,127.0527586,37.52806603
강남구,2018,야,금,1,1,0,0,0,127.0256649,37.51901888
강남구,2018,주,일,1,3,1,1,0,127.0544277,37.52526011
강남구,2019,야,수,1,0,0,0,0,127.0633317,37.50823968
강남구,2019,주,화,1,1,1,0,0,127.0372747,37.50813147
강남구,2019,야,화,1,0,0,0,0,127.0354612,37.48491434
강남구,2019,야,화,1,0,0,0,0,127.0540199,37.5234198
강남구,2019,야,수,1,0,0,0,0,127.0394643,37.50165926
강남구,2019,야,목,1,2,0,0,2,127.0524173,37.52837119
강남구,2019,주,수,1,0,0,0,0,127.0247412,37.52548689
강남구,2019,야,토,1,0,0,0,0,127.0436204,37.53073513
강남구,2019,주,수,1,0,0,0,0,127.0254289,37.50447453
강남구,2019,야,목,1,0,0,0,0,127.04613,37.49572707
강남구,2019,주,월,1,0,0,0,0,127.0754175,37.49793613
강남구,2019,야,금,1,1,1,0,0,127.0791554,37.49913029
강남구,2019,야,목,1,1,0,1,0,127.0429036,37.50222064
강남구,2019,야,화,1,0,0,0,0,127.0977693,37.48581892
