학원명,도로명주소,위도,경도,정원합계,일시수용능력인원합계,인원,근처학원수,근처수강생총합,근처휴게음식점수,근처횡단보도수,사고건수
탑(Top)고려보습학원,서울특별시 광진구 능동로 373,37.5627248,127.0822682,840,169.0,169.0,61.0,2590.0,107.0,92.0,13.0
서울관악보습학원,서울특별시 광진구 아차산로 635,37.55052450000001,127.1065516,65,45.0,45.0,11.0,717.0,46.0,36.0,6.0
해강학원,서울특별시 광진구 광나루로 621,37.5407819,127.0967829,18,74.0,18.0,220.0,11813.0,183.0,102.0,0.0
가주수학학원,서울특별시 광진구 자양번영로 26,37.5319521,127.0755506,190,169.0,169.0,86.0,3416.0,71.0,55.0,12.0
서울제과제빵조리학원,서울특별시 광진구 아차산로 201,37.5417904,127.0660431,531,177.0,177.0,22.0,1680.0,116.0,33.0,16.0
청운독서실,서울특별시 광진구 자양로26길 31,37.5415764,127.0857397,90,90.0,90.0,49.0,1977.0,71.0,43.0,20.0
스터디엔카페건대입구센터독서실,서울특별시 광진구 능동로 49,37.5358139,127.0683342,110,97.0,97.0,70.0,2829.0,189.0,55.0,5.0
퍼스트요리아카데미건대점학원,서울특별시 광진구 아차산로 238,37.53998,127.0695528,470,216.0,216.0,24.0,1758.0,156.0,28.0,4.0
새이화음악학원,서울특별시 광진구 군자로 138,37.553954,127.0746597,75,12.0,12.0,26.0,1212.0,49.0,63.0,13.0
집중스터디카페앤독서실,서울특별시 광진구 아차산로70길 22,37.5420899,127.1013675,2208,138.0,138.0,88.0,3731.0,70.0,94.0,2.0
중앙보습학원,서울특별시 광진구 영화사로 34,37.55659010000001,127.0905058,80,91.0,80.0,44.0,1300.0,96.0,71.0,12.0
이엠보습학원,서울특별시 광진구 영화사로 59-1,37.5552465,127.0931079,54,60.0,54.0,42.0,1844.0,92.0,65.0,26.0
씨원수학학원,서울특별시 광진구 아차산로 499,37.5424654,127.0962926,50,72.0,50.0,214.0,11462.0,92.0,97.0,0.0
하이스트자양보습학원,서울특별시 광진구 뚝섬로 587,37.5335228,127.0754315,771,100.0,100.0,89.0,3489.0,73.0,55.0,6.0
에페슈즈앤백디자인학원,서울특별시 광진구 아차산로 187,37.5423197,127.0646508,177,59.0,59.0,21.0,1582.0,105.0,21.0,16.0
J.B음악학원,서울특별시 광진구 뚝섬로 489,37.5364865,127.0648626,295,80.0,80.0,32.0,1068.0,180.0,41.0,9.0
샤인영어학원,서울특별시 광진구 아차산로65길 14,37.5410475,127.0940895,106,136.0,106.0,203.0,11450.0,193.0,118.0,2.0
비젼아카데미보습학원,서울특별시 광진구 군자로 80,37.5502628,127.0711262,360,62.0,62.0,19.0,885.0,49.0,67.0,10.0
와이즈만영재보습학원,서울특별시 광진구 광나루로 556,37.5442671,127.0911709,144,173.0,144.0,118.0,6147.0,53.0,52.0,10.0
최고수보습학원,서울특별시 광진구 아차산로 621,37.5484962,127.1072266,290,88.0,88.0,14.0,858.0,61.0,65.0,16.0
대치동에듀케이션보습학원,서울특별시 광진구 긴고랑로13길 47,37.5645849,127.0826232,72,72.0,72.0,58.0,2845.0,112.0,104.0,22.0
한국사관보습학원,서울특별시 광진구 용마산로24길 6,37.5651108,127.0871832,115,96.0,96.0,42.0,2486.0,59.0,60.0,8.0
YBM잉글루자양제1학습관보습학원,서울특별시 광진구 뚝섬로36길 15,37.533733,127.0714588,145,58.0,58.0,108.0,4340.0,140.0,59.0,6.0
올림피아드영재센터보습학원,서울특별시 광진구 자양로 90,37.5358295,127.084207,790,136.0,136.0,35.0,2095.0,98.0,60.0,15.0
제스트영수학원,서울특별시 광진구 광나루로 588,37.5426814,127.0938172,25,77.0,25.0,199.0,11168.0,175.0,81.0,4.0
피아노리음악교습소,서울특별시 광진구 아차산로55길 43-1,37.5393809,127.0863237,45,6.0,6.0,47.0,2460.0,93.0,61.0,15.0
신연세보습학원,서울특별시 광진구 자양로 294-1,37.5518417,127.0924505,60,70.0,60.0,47.0,2245.0,94.0,81.0,24.0
애니벅스미술학원,서울특별시 광진구 능동로 161,37.5452955,127.0727509,720,66.0,66.0,12.0,566.0,124.0,57.0,4.0
엘림피아노교습소,서울특별시 광진구 아차산로21길 50,37.5440955,127.0661041,9,3.0,3.0,22.0,1792.0,122.0,23.0,15.0
잉글리쉬무무자양보습학원,서울특별시 광진구 뚝섬로 558,37.5340724,127.0718277,740,45.0,45.0,108.0,4353.0,150.0,62.0,6.0
HK수학교습소,서울특별시 광진구 구의강변로 45,37.5349817,127.0912558,24,8.0,8.0,29.0,1170.0,175.0,117.0,8.0
최용훈국어광진광장학원,서울특별시 광진구 광나루로54길 6,37.5405539,127.0958609,57,74.0,57.0,222.0,11647.0,185.0,93.0,2.0
더노엠워커힐어학학원,서울특별시 광진구 아차산로 623,37.548496,127.106796,132,90.0,90.0,13.0,806.0,57.0,70.0,18.0
메아리음악교습소,서울특별시 광진구 아차산로44길 36,37.5364604,127.0789832,25,5.0,5.0,50.0,2817.0,49.0,62.0,12.0
이화이레음악학원,서울특별시 광진구 동일로72길 46,37.5653083,127.0799294,540,13.0,13.0,26.0,1044.0,84.0,83.0,26.0
한양음악학원,서울특별시 광진구 아차산로 503,37.5425096,127.0977483,153,15.0,15.0,198.0,10885.0,77.0,99.0,0.0
엠플러스광진학원,서울특별시 광진구 아차산로 494,37.541154,127.0967128,80,123.0,80.0,220.0,11751.0,183.0,103.0,0.0
THN최상위영수학원,서울특별시 광진구 자양로 186,37.5440106,127.0851259,90,100.0,90.0,44.0,1579.0,62.0,29.0,16.0
음악천사피아노교습소,서울특별시 광진구 광나루로40길 93,37.5405466,127.0887217,30,5.0,5.0,82.0,4051.0,186.0,71.0,18.0
에듀프라임학원,서울특별시 광진구 영화사로 64-1,37.5547344,127.0932663,468,91.0,91.0,43.0,1957.0,87.0,71.0,26.0
우리들학원,서울특별시 광진구 용마산로 96,37.5623037,127.0873816,48,96.0,48.0,40.0,2717.0,45.0,66.0,14.0
베스트최현숙학원,서울특별시 광진구 광나루로 620,37.5407033,127.0960559,106,126.0,106.0,223.0,11736.0,184.0,90.0,2.0
피아주르음악교습소,서울특별시 광진구 동일로56길 38,37.5555332,127.0740922,25,7.0,7.0,18.0,1045.0,38.0,84.0,17.0
하모니음악교습소,서울특별시 광진구 구의로16길 68,37.5422944,127.0934762,25,5.0,5.0,206.0,11673.0,173.0,78.0,4.0
수피아노교습소,서울특별시 광진구 뚝섬로36가길 8,37.5321307,127.0710209,2,2.0,2.0,101.0,4224.0,142.0,58.0,5.0
아르떼피아노교습소,서울특별시 광진구 천호대로129길 48,37.5535568,127.0919635,50,5.0,5.0,51.0,2465.0,94.0,81.0,28.0
이화멜로디음악교습소,서울특별시 광진구 뚝섬로56가길 13,37.5285792,127.0834469,40,9.0,9.0,43.0,1621.0,107.0,39.0,6.0
위드맴버스학원,서울특별시 광진구 광나루로 582,37.5430855,127.0933652,100,76.0,76.0,175.0,10794.0,183.0,84.0,6.0
TOP명문보습학원,서울특별시 광진구 뚝섬로 657,37.5316633,127.0826361,235,136.0,136.0,54.0,2299.0,77.0,61.0,8.0
더상승플러스학원,서울특별시 광진구 용마산로 112,37.5636979,127.087144,200,113.0,113.0,46.0,2737.0,70.0,71.0,10.0
구의감각학원,서울특별시 광진구 자양로 162,37.5421002,127.0842633,215,96.0,96.0,40.0,1600.0,70.0,14.0,14.0
세움수학교습소,서울특별시 광진구 능동로13길 70-1,37.544865,127.0692173,50,5.0,5.0,23.0,1656.0,124.0,63.0,8.0
헬리오수학교습소,서울특별시 광진구 아차산로 499,37.5424654,127.0962926,4,2.0,2.0,214.0,11510.0,92.0,97.0,0.0
명장보습학원,서울특별시 광진구 자양번영로 42,37.5333293,127.0759792,589,81.0,81.0,86.0,3338.0,77.0,55.0,6.0
유니센스일대일영어통역학원,서울특별시 광진구 능동로 333,37.5593981,127.0804083,11,76.0,11.0,49.0,1888.0,79.0,113.0,42.0
강한수학교습소,서울특별시 광진구 구의강변로 96,37.5384981,127.0946643,27,9.0,9.0,192.0,10492.0,238.0,133.0,6.0
브레인학원,서울특별시 광진구 능동로47길 7,37.5629294,127.0821809,528,70.0,70.0,61.0,2827.0,105.0,92.0,13.0
참조은예일보습학원,서울특별시 광진구 광나루로 531,37.54512649999999,127.088676,259,15.0,15.0,71.0,3093.0,61.0,36.0,9.0
JLS일본어교습소,서울특별시 광진구 아차산로 498,37.5412812,127.0968001,6,3.0,3.0,219.0,11789.0,100.0,101.0,0.0
모노아트미술교습소,서울특별시 광진구 광나루로 635,37.5406205,127.0986045,24,8.0,8.0,206.0,10452.0,83.0,97.0,0.0
표현영어학원,서울특별시 광진구 구의로16길 93,37.5414759,127.0945981,30,75.0,30.0,210.0,11413.0,186.0,99.0,2.0
뿌리깊은수학나무보습학원,서울특별시 광진구 구의로16길 91,37.5415644,127.0945118,50,66.0,50.0,210.0,11393.0,191.0,100.0,4.0
바스키즈미술학원,서울특별시 광진구 구의강변로 106,37.5399001,127.0948193,71,59.0,59.0,221.0,11689.0,188.0,124.0,4.0
써니이스턴(Sunny EST)영어학원,서울특별시 광진구 자양로 160,37.5418772,127.0842465,45,77.0,45.0,40.0,1651.0,70.0,11.0,14.0
아트센터173미술교습소,서울특별시 광진구 천호대로117길 62,37.5576523,127.0853206,9,3.0,3.0,79.0,2833.0,67.0,63.0,49.0
삼성음악교습소,서울특별시 광진구 아차산로70길 17-17,37.5414998,127.1032682,25,9.0,9.0,57.0,2038.0,11.0,63.0,2.0
경희제일피아노음악교습소,서울특별시 광진구 광나루로30길 35,37.5436828,127.0817666,55,5.0,5.0,26.0,1242.0,38.0,12.0,10.0
뉴프라임피아노교습소,서울특별시 광진구 광나루로56길 29,37.53739729999999,127.0976212,4,2.0,2.0,119.0,5694.0,99.0,90.0,6.0
구의이화음악교습소,서울특별시 광진구 아차산로59길 42,37.5402908,127.0908091,50,5.0,5.0,168.0,9762.0,169.0,105.0,8.0
유토피아수학교습소,서울특별시 광진구 군자로12길 16,37.5510068,127.0719873,35,5.0,5.0,22.0,1125.0,43.0,78.0,10.0
한국가야금교습소,서울특별시 광진구 능동로19길 35,37.5470672,127.071841,27,9.0,9.0,21.0,908.0,108.0,69.0,8.0
라라피아노교습소,서울특별시 광진구 자양번영로11길 35-10,37.5369922,127.0745209,18,1.0,1.0,76.0,3271.0,72.0,55.0,10.0
이미선음악교습소,서울특별시 광진구 자양번영로1길 23,37.5307087,127.0735819,30,9.0,9.0,70.0,3171.0,45.0,38.0,12.0
예림피아노교습소,서울특별시 광진구 광나루로38길 73,37.54160150000001,127.0873097,20,5.0,5.0,56.0,2236.0,105.0,67.0,18.0
비인피아노교습소,서울특별시 광진구 자양로4나길 47,37.530536,127.0888448,2,5.0,2.0,17.0,607.0,103.0,45.0,4.0
디지털컴퓨터교습소,서울특별시 광진구 아차산로 530,37.5419395,127.0996713,50,5.0,5.0,156.0,8383.0,72.0,95.0,0.0
명성피아노교습소,서울특별시 광진구 뚝섬로32길 4,37.5353741,127.0672602,15,5.0,5.0,68.0,2806.0,166.0,48.0,8.0
린음악교습소,서울특별시 광진구 자양로13길 87-1,37.5328441,127.0803767,65,5.0,5.0,92.0,4025.0,84.0,79.0,10.0
모짜르트음악교습소,서울특별시 광진구 뚝섬로32길 23,37.5344676,127.0670898,15,5.0,5.0,69.0,2744.0,145.0,48.0,7.0
예성음악교습소,서울특별시 광진구 자양로30길 14,37.5436321,127.0857079,50,5.0,5.0,49.0,1829.0,67.0,33.0,16.0
새쇼팽피아노교습소,서울특별시 광진구 뚝섬로54길 35,37.5299791,127.0803246,55,5.0,5.0,56.0,2037.0,77.0,43.0,12.0
슬기피아노교습소,서울특별시 광진구 뚝섬로37길 11,37.5350143,127.0716811,6,2.0,2.0,105.0,4314.0,175.0,62.0,7.0
모마미술교습소,서울특별시 광진구 아차산로 522,37.5419395,127.0996713,154,8.0,8.0,156.0,8380.0,72.0,95.0,0.0
소해서예교습소,서울특별시 광진구 광나루로 606,37.5413415,127.0951373,36,9.0,9.0,219.0,11647.0,186.0,88.0,2.0
프레이즈뮤직음악교습소,서울특별시 광진구 천호대로119길 26,37.5560021,127.0862428,70,8.0,8.0,71.0,2422.0,101.0,53.0,47.0
라음피아노음악교습소,서울특별시 광진구 아차산로 549,37.5441452,127.1015274,36,9.0,9.0,70.0,2628.0,32.0,92.0,2.0
양혜원피아노교습소,서울특별시 광진구 자양로32길 72,37.5439803,127.0891598,15,5.0,5.0,82.0,3558.0,61.0,43.0,10.0
송현서당교습소,서울특별시 광진구 영화사로9길 63,37.5571024,127.0940141,5,5.0,5.0,27.0,1085.0,37.0,40.0,2.0
베르디음악교습소,서울특별시 광진구 능동로4길 65,37.5317681,127.0705094,40,5.0,5.0,90.0,3812.0,143.0,56.0,5.0
이성희피아노교습소,서울특별시 광진구 아차산로 552,37.5431583,127.1041888,25,5.0,5.0,34.0,1049.0,36.0,83.0,10.0
위드성신피아노교습소,서울특별시 광진구 자양로22길 24,37.5394904,127.0846921,35,8.0,8.0,47.0,2572.0,83.0,53.0,17.0
다빈치미술교습소,서울특별시 광진구 아차산로44길 35,37.5362959,127.0790291,8,4.0,4.0,50.0,2818.0,52.0,67.0,12.0
메이저수학학원,서울특별시 광진구 자양로3길 59,37.5295743,127.0834717,42,83.0,42.0,47.0,1772.0,121.0,52.0,6.0
박선생과학교습소,서울특별시 광진구 아차산로 464,37.5396198,127.0936261,12,6.0,6.0,209.0,11604.0,231.0,139.0,6.0
덴간호조무사학원,서울특별시 광진구 아차산로 201,37.5417904,127.0660431,560,145.0,145.0,22.0,1712.0,116.0,33.0,16.0
메타스콜레광진학원,서울특별시 광진구 광나루로 590,37.5425759,127.0939174,10,68.0,10.0,201.0,11399.0,174.0,81.0,4.0
매쓰피아수학학원,서울특별시 광진구 광나루로 584,37.54305129999999,127.0935523,81,70.0,70.0,171.0,10840.0,177.0,84.0,6.0
리틀모짜르트피아노교습소,서울특별시 광진구 천호대로136길 43,37.547655,127.0902789,6,2.0,2.0,47.0,2035.0,35.0,60.0,12.0
아주특별한미술시간교습소,서울특별시 광진구 아차산로69길 36,37.5436783,127.0986921,12,6.0,6.0,168.0,9443.0,70.0,101.0,4.0
그림이야기미술교습소,서울특별시 광진구 뚝섬로33길 20,37.5356572,127.0700386,135,9.0,9.0,80.0,3124.0,177.0,54.0,7.0
뉴스트학원,서울특별시 광진구 용마산로5길 47,37.5573412,127.0851373,156,75.0,75.0,75.0,2590.0,61.0,66.0,49.0
국풍2000풀무국어학원,서울특별시 광진구 용마산로 92,37.5618479,127.0874695,136,68.0,68.0,43.0,2841.0,43.0,63.0,12.0
스터디엔카페독서실,서울특별시 광진구 자양로9길 5,37.53367739999999,127.0841031,130,124.0,124.0,54.0,2812.0,81.0,78.0,13.0
비발디피아노음악교습소,서울특별시 광진구 자양로40길 40,37.5472419,127.0908503,100,9.0,9.0,49.0,2166.0,37.0,60.0,10.0
이엔아이음악학원,서울특별시 광진구 구의강변로 88,37.5383844,127.0941201,70,20.0,20.0,190.0,10472.0,240.0,146.0,6.0
광진일관정상어학원,서울특별시 광진구 아차산로 462,37.539496,127.0934178,160,120.0,120.0,207.0,11356.0,228.0,137.0,6.0
은혜피아노학원,서울특별시 광진구 아차산로 499,37.5424654,127.0962926,51,20.0,20.0,214.0,11492.0,92.0,97.0,0.0
발레미학무용학원,서울특별시 광진구 뚝섬로 558,37.5340724,127.0718277,40,63.0,40.0,108.0,4358.0,150.0,62.0,6.0
라온제나반올림음악학원,서울특별시 광진구 뚝섬로 541,37.5349189,127.0703778,120,33.0,33.0,86.0,3256.0,174.0,53.0,7.0
BLS에듀센터영어(Edu Center English)학원,서울특별시 광진구 광나루로 607,37.5419607,127.095718,58,77.0,58.0,215.0,11745.0,186.0,96.0,2.0
에듀뱅크과학국어영어학원,서울특별시 광진구 용마산로 89,37.5615905,127.0870752,24,80.0,24.0,52.0,2941.0,50.0,66.0,12.0
다금바이올린교습소,서울특별시 광진구 광나루로 635,37.5406205,127.0986045,4,4.0,4.0,206.0,10456.0,83.0,97.0,0.0
지엘이씨어학학원,서울특별시 광진구 자양로 90,37.5358295,127.084207,166,260.0,166.0,35.0,2065.0,98.0,60.0,15.0
비바체음악교습소,서울특별시 광진구 자양로 317-1,37.553793,127.0935918,38,9.0,9.0,47.0,2171.0,87.0,77.0,22.0
온탑(ONTOP)학원,서울특별시 광진구 자양번영로 48,37.5337708,127.0761036,40,82.0,40.0,88.0,3559.0,77.0,56.0,11.0
소원서예교습소,서울특별시 광진구 뚝섬로 649,37.5316229,127.0818249,26,8.0,8.0,54.0,2004.0,77.0,61.0,10.0
프리연기학원,서울특별시 광진구 아차산로30길 39,37.53889059999999,127.0673902,40,108.0,40.0,33.0,2142.0,123.0,47.0,15.0
1095보습학원,서울특별시 광진구 광나루로 588,37.5426814,127.0938172,64,101.0,64.0,199.0,11129.0,175.0,81.0,4.0
하늘구름피아노교습소,서울특별시 광진구 뚝섬로58가길 26,37.5304114,127.0833957,24,5.0,5.0,50.0,1876.0,124.0,61.0,6.0
강한학원,서울특별시 광진구 뚝섬로 646,37.5313977,127.0811578,70,92.0,70.0,62.0,2396.0,81.0,61.0,16.0
생각하는미술교습소,서울특별시 광진구 자양로3길 68,37.5295734,127.0829834,15,7.0,7.0,46.0,1805.0,122.0,52.0,10.0
꿈꾸는현대미술교습소,서울특별시 광진구 능동로6길 16,37.5340972,127.0690377,133,7.0,7.0,72.0,2725.0,149.0,48.0,10.0
윤선생영어숲광진보습학원,서울특별시 광진구 뚝섬로 545,37.5347885,127.0712566,324,81.0,81.0,104.0,4077.0,179.0,59.0,7.0
유톡영어교습소,서울특별시 광진구 동일로72길 46,37.5653083,127.0799294,24,8.0,8.0,26.0,1049.0,84.0,83.0,26.0
명인독서실,서울특별시 광진구 뚝섬로56길 29,37.530134,127.0827905,140,70.0,70.0,47.0,1746.0,64.0,55.0,10.0
엠아이파라다이스아트(MIParadiseArt)미술교습소,서울특별시 광진구 광장로3길 2,37.5472723,127.1032178,15,9.0,9.0,24.0,1141.0,55.0,79.0,6.0
네오매쓰수학학원,서울특별시 광진구 구의강변로3길 11,37.5356917,127.0914002,155,92.0,92.0,38.0,1646.0,180.0,120.0,10.0
뉴튼의어깨과학교습소,서울특별시 광진구 뚝섬로 552,37.5342435,127.0712757,12,4.0,4.0,109.0,4398.0,152.0,59.0,7.0
문성중국어교습소,서울특별시 광진구 긴고랑로7길 64,37.5660746,127.0806666,24,4.0,4.0,27.0,1097.0,79.0,88.0,34.0
오채미술학원,서울특별시 광진구 자양로 251,37.5490121,127.0892921,70,47.0,47.0,47.0,1953.0,36.0,63.0,28.0
오름수학교습소,서울특별시 광진구 뚝섬로35길 9,37.5356572,127.0700386,57,4.0,4.0,80.0,3129.0,177.0,54.0,7.0
피엠피(PMP)영어학원,서울특별시 광진구 광나루로 606,37.5413415,127.0951373,69,82.0,69.0,219.0,11587.0,186.0,88.0,2.0
신명음악교습소,서울특별시 광진구 뚝섬로56길 44,37.5294443,127.0825831,20,3.0,3.0,47.0,1813.0,61.0,54.0,12.0
그레이스음악교습소,서울특별시 광진구 자양로51길 59,37.5550462,127.0907077,20,8.0,8.0,53.0,2103.0,103.0,78.0,34.0
샤론피아노교습소,서울특별시 광진구 뚝섬로52라길 36,37.5293246,127.0805285,45,5.0,5.0,48.0,1486.0,69.0,40.0,12.0
홍피아노교습소,서울특별시 광진구 군자로 165,37.5555904,127.076958,12,5.0,5.0,21.0,1204.0,58.0,96.0,48.0
일러스트만화학원,서울특별시 광진구 능동로 347-1,37.5605894,127.0811042,90,30.0,30.0,52.0,1929.0,91.0,98.0,14.0
다솜음악학원,서울특별시 광진구 용마산로7길 30,37.5595393,127.0861376,205,22.0,22.0,88.0,3796.0,68.0,68.0,18.0
에이스원영어학원,서울특별시 광진구 뚝섬로 541,37.5349189,127.0703778,18,71.0,18.0,86.0,3271.0,174.0,53.0,7.0
아트피플미술학원,서울특별시 광진구 광나루로 580,37.5432411,127.0932438,80,58.0,58.0,176.0,10821.0,98.0,82.0,6.0
이황학원,서울특별시 광진구 영화사로 64,37.5548726,127.0930904,264,71.0,71.0,43.0,1977.0,88.0,71.0,26.0
눈높이러닝센터중곡보습학원,서울특별시 광진구 능동로38길 39,37.5572097,127.0819886,1305,75.0,75.0,67.0,1842.0,73.0,80.0,45.0
렛츠에듀편입학원,서울특별시 광진구 능동로13길 39,37.5435023,127.0699004,396,152.0,152.0,23.0,1716.0,163.0,40.0,9.0
자성학원,서울특별시 광진구 뚝섬로 552,37.5342435,127.0712757,98,103.0,98.0,109.0,4304.0,152.0,59.0,7.0
베베궁광진어학원,서울특별시 광진구 아차산로 478,37.540312,127.095016,26,147.0,26.0,221.0,11655.0,188.0,114.0,4.0
홍수현의생각하는아이논술교습소,서울특별시 광진구 광나루로52길 41,37.54036560000001,127.0934778,24,6.0,6.0,210.0,11694.0,215.0,135.0,6.0
윤선생영어숲자양보습학원,서울특별시 광진구 뚝섬로56길 38-1,37.5296497,127.0825596,380,71.0,71.0,47.0,1745.0,64.0,55.0,12.0
GBS학습속독교습소,서울특별시 광진구 뚝섬로 539,37.5350424,127.0700693,75,5.0,5.0,81.0,2924.0,174.0,48.0,7.0
파랑키즈어학원,서울특별시 광진구 동일로20길 20,37.5411181,127.0647455,1440,158.0,158.0,17.0,1487.0,77.0,21.0,14.0
올림픽심슨어학원,서울특별시 광진구 광나루로 603,37.5420151,127.0955975,480,164.0,164.0,214.0,11501.0,186.0,98.0,2.0
아발론랭콘광진어학원,서울특별시 광진구 광나루로 602,37.5417868,127.0946996,976,140.0,140.0,209.0,11295.0,186.0,96.0,4.0
에듀코치개별지도구의학원,서울특별시 광진구 광나루로 600,37.5419375,127.0945505,1050,101.0,101.0,210.0,11342.0,188.0,96.0,4.0
센띠아모음악학원,서울특별시 광진구 능동로6길 22,37.534056,127.0692057,250,15.0,15.0,72.0,2717.0,149.0,48.0,10.0
자양에듀플렉스보습학원,서울특별시 광진구 자양번영로 46,37.5336367,127.0760645,480,73.0,73.0,87.0,3423.0,77.0,56.0,11.0
