학원명,도로명주소,위도,경도,정원합계,일시수용능력인원합계,어린이보호구역여부,인원,근처학원수,근처수강생총합,근처휴게음식점수,근처횡단보도수,사고건수
ArtCenter나무미술교습소,서울특별시 노원구 한글비석로 396,37.6614765,127.0728242,81,9,0.0,9.0,66.0,2573.0,67.0,84.0,13.0
해드니미술교습소,서울특별시 노원구 동일로 1456,37.6588173,127.0604508,25,5,0.0,5.0,76.0,14442.0,56.0,77.0,5.0
키즈잉글리쉬어학원,서울특별시 노원구 동일로 1550,37.6669174,127.0575806,40,178,0.0,40.0,94.0,3944.0,29.0,67.0,5.0
생각찬국어교습소,서울특별시 노원구 동일로 1456,37.6588173,127.0604508,6,4,0.0,4.0,76.0,14443.0,56.0,77.0,5.0
다올음악교습소,서울특별시 노원구 덕릉로 780,37.6669564,127.0796885,20,5,0.0,5.0,27.0,792.0,22.0,36.0,8.0
조창용수학교습소,서울특별시 노원구 덕릉로73길 28,37.6534321,127.072311,12,3,0.0,3.0,249.0,13783.0,37.0,58.0,0.0
공부의기술수학과학전문학원,서울특별시 노원구 한글비석로 264,37.6509746,127.0771635,20,119,0.0,20.0,472.0,60531.0,62.0,78.0,2.0
스터디폴수학교습소,서울특별시 노원구 중계로18길 17,37.6515236,127.0778413,24,4,0.0,4.0,466.0,60433.0,65.0,80.0,2.0
공릉주니어랩영어교습소,서울특별시 노원구 화랑로51길 17,37.6236127,127.0885326,30,6,0.0,6.0,45.0,982.0,14.0,69.0,12.0
천사회교습소,서울특별시 노원구 한글비석로 232,37.6483769,127.0769291,12,4,0.0,4.0,457.0,59398.0,56.0,64.0,2.0
김만억수학학원,서울특별시 노원구 동일로 1547,37.666557,127.0569221,112,105,0.0,105.0,94.0,3879.0,27.0,61.0,5.0
수음악학원,서울특별시 노원구 중계로14길 34,37.6498584,127.082413,170,112,0.0,112.0,226.0,34981.0,44.0,35.0,0.0
하늘교육화랑학원,서울특별시 노원구 노원로 43,37.6254113,127.085785,80,89,0.0,80.0,57.0,1082.0,24.0,73.0,11.0
학림학원,서울특별시 노원구 한글비석로 250,37.6499887,127.0770075,2000,321,0.0,321.0,478.0,60417.0,62.0,68.0,2.0
영어의바다보습학원,서울특별시 노원구 한글비석로 269,37.6517301,127.0767968,20,71,0.0,20.0,474.0,60219.0,57.0,74.0,2.0
보다미술학원,서울특별시 노원구 동일로 1345,37.6486893,127.0618793,510,53,0.0,53.0,65.0,5052.0,36.0,45.0,5.0
필즈아카데미학원,서울특별시 노원구 덕릉로 669,37.6573787,127.074582,536,94,0.0,94.0,84.0,4583.0,50.0,76.0,7.0
HIMS명성학원,서울특별시 노원구 광운로 59,37.6227495,127.0596279,20,69,0.0,20.0,4.0,220.0,33.0,30.0,4.0
시매쓰중계학원,서울특별시 노원구 한글비석로 273,37.6521755,127.0771914,158,80,0.0,80.0,480.0,60433.0,58.0,74.0,3.0
최고수학교습소,서울특별시 노원구 섬밭로 263,37.6387852,127.0624881,24,8,0.0,8.0,53.0,2733.0,22.0,54.0,1.0
아썸논술영어교습소,서울특별시 노원구 동일로227길 26,37.6687829,127.0537253,8,2,0.0,2.0,65.0,3297.0,24.0,35.0,5.0
월계셈스터디학원,서울특별시 노원구 월계로45길 28,37.6269404,127.0512537,110,145,0.0,110.0,10.0,335.0,7.0,47.0,3.0
밀라노음악학원,서울특별시 노원구 중계로14길 28,37.6496828,127.0822503,11,60,0.0,11.0,269.0,37245.0,44.0,37.0,0.0
올림포스학원,서울특별시 노원구 노원로34길 80,37.6626141,127.0660955,400,84,0.0,84.0,77.0,3100.0,50.0,57.0,4.0
황장석수학교습소,서울특별시 노원구 한글비석로 242,37.6493084,127.0769639,6,3,0.0,3.0,474.0,60267.0,59.0,66.0,2.0
플러튼영어학원,서울특별시 노원구 중계로12가길 2,37.6473163,127.0821096,40,84,0.0,40.0,109.0,4927.0,28.0,35.0,2.0
중계에이닷영어학원,서울특별시 노원구 한글비석로 227,37.6479003,127.0762756,560,99,0.0,99.0,436.0,58752.0,50.0,58.0,2.0
이우준고등영어교습소,서울특별시 노원구 한글비석로8길 16,37.6472756,127.0779151,3,3,0.0,3.0,410.0,57343.0,53.0,57.0,2.0
김대수수학교습소,서울특별시 노원구 덕릉로73길 28,37.6534321,127.072311,7,5,0.0,5.0,249.0,13781.0,37.0,58.0,0.0
쥴리어드음악교습소,서울특별시 노원구 덕릉로82길 25,37.6584511,127.0766999,27,5,0.0,5.0,62.0,4262.0,36.0,74.0,8.0
싸인매쓰수학학원,서울특별시 노원구 한글비석로 242,37.6493084,127.0769639,360,101,0.0,101.0,474.0,60169.0,59.0,66.0,2.0
창의나무미술교습소,서울특별시 노원구 초안산로 19,37.6295685,127.0541403,24,9,0.0,9.0,15.0,558.0,17.0,41.0,7.0
김미정국어교습소,서울특별시 노원구 한글비석로 264,37.6509746,127.0771635,4,2,0.0,2.0,472.0,60549.0,62.0,78.0,2.0
랄라음악학원,서울특별시 노원구 중계로16가길 29,37.6504461,127.0826393,260,67,0.0,67.0,198.0,32653.0,40.0,32.0,0.0
박앤김영어수학학원,서울특별시 노원구 한글비석로 264,37.6509746,127.0771635,244,90,0.0,90.0,472.0,60461.0,62.0,78.0,2.0
Grace Music음악학원,서울특별시 노원구 석계로9길 17,37.6171761,127.063258,381,63,0.0,63.0,43.0,1352.0,26.0,12.0,6.0
손가락기타교습소,서울특별시 노원구 노원로 421,37.654261,127.066997,12,6,0.0,6.0,81.0,15893.0,70.0,57.0,2.0
윤선생아이지에스이(IGSE)상계학원,서울특별시 노원구 동일로 1549,37.6667157,127.0568809,100,94,0.0,94.0,94.0,3890.0,29.0,67.0,5.0
김경미논술국어교습소,서울특별시 노원구 석계로9길 29,37.6168241,127.0628055,12,6,0.0,6.0,30.0,1016.0,25.0,13.0,6.0
윤복경음악교습소,서울특별시 노원구 중계로16길 10,37.6509894,127.0813834,30,9,0.0,9.0,365.0,52701.0,58.0,48.0,2.0
하계청솔해법수학교습소,서울특별시 노원구 공릉로59길 15,37.6331962,127.0710597,28,7,0.0,7.0,25.0,766.0,28.0,102.0,8.0
유클리드영어수학학원,서울특별시 노원구 공릉로59길 15,37.6331962,127.0710597,135,88,0.0,88.0,25.0,685.0,28.0,102.0,8.0
야마하음악학원,서울특별시 노원구 화랑로 453,37.6186232,127.0775658,135,62,0.0,62.0,15.0,567.0,58.0,46.0,10.0
대치동에듀케이션학원,서울특별시 노원구 섬밭로 258,37.6388263,127.0647546,48,72,0.0,48.0,61.0,2887.0,41.0,87.0,7.0
송암독서실,서울특별시 노원구 공릉로 187,37.626444,127.0788963,895,179,0.0,179.0,60.0,2738.0,60.0,42.0,3.0
스마트해법영어공릉화랑영어교습소,서울특별시 노원구 화랑로51길 81,37.6246057,127.0876067,27,4,0.0,4.0,51.0,1024.0,19.0,72.0,11.0
뉴혜지음악교습소,서울특별시 노원구 한글비석로 571,37.6641843,127.0546598,15,3,0.0,3.0,78.0,3209.0,20.0,50.0,3.0
네오아뜰리에미술교습소,서울특별시 노원구 화랑로51길 38,37.6249914,127.0890791,27,9,0.0,9.0,32.0,820.0,20.0,70.0,11.0
다다름학원,서울특별시 노원구 상계로23다길 18,37.6592486,127.0695216,110,73,0.0,73.0,84.0,5266.0,79.0,71.0,6.0
수학만학원,서울특별시 노원구 한글비석로 272,37.6517354,127.0775931,40,217,0.0,40.0,467.0,60406.0,62.0,77.0,2.0
스마트해법불암초점학원,서울특별시 노원구 중계로 166,37.649898,127.081201,42,73,0.0,42.0,420.0,58384.0,64.0,54.0,2.0
잉글리쉬식스학원,서울특별시 노원구 섬밭로 258,37.6388263,127.0647546,80,75,0.0,75.0,61.0,2860.0,41.0,87.0,7.0
락기타드럼베이스통기타전문음악교습소,서울특별시 노원구 한글비석로 15길 51,37.655891,127.073994,18,9,0.0,9.0,99.0,6112.0,44.0,72.0,5.0
이엔제이영어학원,서울특별시 노원구 한글비석로 232,37.6483769,127.0769291,142,72,0.0,72.0,457.0,59330.0,56.0,64.0,2.0
학림제2학원,서울특별시 노원구 한글비석로 250,37.6499887,127.0770075,2000,431,0.0,431.0,478.0,60307.0,62.0,68.0,2.0
크레버스영재교육센터중계제1지점학원,서울특별시 노원구 중계로 225,37.6498272,127.0743318,63,270,0.0,63.0,466.0,59549.0,57.0,63.0,3.0
SEM수학학원,서울특별시 노원구 동일로237마길 30,37.6747817,127.0519464,16,72,0.0,16.0,24.0,947.0,37.0,13.0,6.0
진국어교습소,서울특별시 노원구 동일로218길 17,37.6539147,127.0619142,12,6,0.0,6.0,108.0,21818.0,96.0,75.0,5.0
엠케이수학교습소,서울특별시 노원구 노원로 421,37.654261,127.066997,20,7,0.0,7.0,81.0,15892.0,70.0,57.0,2.0
잉글리쉬무무상계5학원,서울특별시 노원구 동일로 1550,37.6669174,127.0575806,60,71,0.0,60.0,94.0,3924.0,29.0,67.0,5.0
조재필독서실,서울특별시 노원구 한글비석로 254,37.6504079,127.0770904,440,116,0.0,116.0,476.0,60614.0,62.0,71.0,2.0
탑스영어교습소,서울특별시 노원구 섬밭로 258,37.6388263,127.0647546,63,9,0.0,9.0,61.0,2926.0,41.0,87.0,7.0
하늘높이일학원,서울특별시 노원구 중계로 197,37.6497527,127.0784681,71,74,0.0,71.0,473.0,60113.0,67.0,54.0,2.0
해법수학영어학원,서울특별시 노원구 공릉로34길 62,37.6234994,127.0831875,64,72,0.0,64.0,88.0,2702.0,44.0,68.0,12.0
성희피아노교습소,서울특별시 노원구 한글비석로54길 116,37.6683107,127.0604105,1,5,0.0,1.0,73.0,3405.0,23.0,60.0,4.0
e해법수학교습소,서울특별시 노원구 노원로22길 77,37.6485878,127.0742954,45,9,0.0,9.0,451.0,59225.0,53.0,69.0,4.0
미술로크는아이들미술교습소,서울특별시 노원구 덕릉로94가길 20,37.663117,127.0785759,15,5,0.0,5.0,33.0,1248.0,26.0,50.0,9.0
더카렌네일아트미용학원,서울특별시 노원구 상계로3길 29,37.6575591,127.0623479,107,61,0.0,61.0,93.0,18027.0,88.0,90.0,7.0
엔(N)-플러스간호학원,서울특별시 노원구 노해로 511,37.6554626,127.0647318,240,114,0.0,114.0,89.0,16222.0,97.0,79.0,7.0
눈높이러닝센터마들학원,서울특별시 노원구 동일로 1545,37.6663796,127.0569683,780,126,0.0,126.0,91.0,3546.0,27.0,58.0,5.0
에듀플렉스에듀코치개별지도중계학원,서울특별시 노원구 한글비석로 269,37.6517301,127.0767968,550,221,0.0,221.0,474.0,60018.0,57.0,74.0,2.0
박현영영어수학학원,서울특별시 노원구 한글비석로52길 38,37.6661009,127.0666369,168,71,0.0,71.0,63.0,2474.0,28.0,43.0,2.0
점프기타교습소,서울특별시 노원구 덕릉로73길 28,37.6534321,127.072311,4,4,0.0,4.0,249.0,13782.0,37.0,58.0,0.0
눈높이러닝센터신중계학원,서울특별시 노원구 한글비석로15길 15,37.6574722,127.0742984,780,110,0.0,110.0,85.0,4627.0,53.0,80.0,7.0
CMI실용음악학원,서울특별시 노원구 노해로 521,37.655741,127.065897,9,63,0.0,9.0,82.0,15789.0,87.0,70.0,4.0
고구마학원,서울특별시 노원구 한글비석로 264,37.6509746,127.0771635,38,75,0.0,38.0,472.0,60513.0,62.0,78.0,2.0
생각의좌표학원,서울특별시 노원구 한글비석로 250,37.6499887,127.0770075,110,77,0.0,77.0,478.0,60661.0,62.0,68.0,2.0
라돌체(La Dolce)음악교습소,서울특별시 노원구 한글비석로 571,37.6641843,127.0546598,20,7,0.0,7.0,78.0,3205.0,20.0,50.0,3.0
이백수학교습소,서울특별시 노원구 동일로 1456,37.6588173,127.0604508,16,4,0.0,4.0,76.0,14443.0,56.0,77.0,5.0
정선생수학교습소,서울특별시 노원구 중계로18길 17,37.6515236,127.0778413,15,6,0.0,6.0,466.0,60431.0,65.0,80.0,2.0
피아노숲음악교습소,서울특별시 노원구 동일로175길 20,37.6196843,127.0736685,40,4,0.0,4.0,27.0,1128.0,66.0,60.0,9.0
더(THE)바른수학학원,서울특별시 노원구 마들로 31,37.6178025,127.0685682,70,69,0.0,69.0,28.0,746.0,23.0,30.0,1.0
펠리체음악교습소,서울특별시 노원구 한글비석로50길 2,37.6645029,127.0667764,9,8,0.0,8.0,69.0,2713.0,39.0,49.0,4.0
칼수학학원,서울특별시 노원구 한글비석로 272,37.6517354,127.0775931,243,193,0.0,193.0,467.0,60253.0,62.0,77.0,2.0
씨앤에이논술보습학원,서울특별시 노원구 덕릉로 603,37.651819,127.0728249,360,113,0.0,113.0,397.0,55686.0,49.0,74.0,3.0
스티브영어학원,서울특별시 노원구 초안산로5길 12,37.6325534,127.0516543,276,69,0.0,69.0,7.0,254.0,5.0,6.0,2.0
단국악학원,서울특별시 노원구 공릉로58길 63,37.635232,127.0721094,18,55,0.0,18.0,27.0,763.0,39.0,72.0,5.0
상상공간고래발자국미술교습소,서울특별시 노원구 노원로1길 77,37.6207776,127.0829427,27,9,0.0,9.0,63.0,2113.0,48.0,53.0,14.0
미술로생각하기학원,서울특별시 노원구 동일로 1419,37.6553063,127.0598512,10,59,0.0,10.0,93.0,18764.0,92.0,69.0,6.0
중계해법영어교습소,서울특별시 노원구 한글비석로15길 48,37.6562734,127.0734915,18,6,0.0,6.0,90.0,5285.0,49.0,66.0,5.0
스터디캡슐독서실,서울특별시 노원구 한글비석로 235,37.6487645,127.0763385,477,191,0.0,191.0,466.0,59736.0,56.0,72.0,2.0
은혜피아노교습소,서울특별시 노원구 한글비석로 265,37.6514461,127.0765554,30,5,0.0,5.0,477.0,60326.0,57.0,77.0,2.0
키즈브라운어학원,서울특별시 노원구 공릉로46길 6,37.6268785,127.079495,72,149,0.0,72.0,64.0,2675.0,55.0,46.0,3.0
지혜바둑교습소,서울특별시 노원구 덕릉로 591,37.6510441,127.0718403,9,9,0.0,9.0,326.0,28969.0,54.0,72.0,1.0
중계음악교습소,서울특별시 노원구 덕릉로 589,37.6509693,127.0717399,18,9,0.0,9.0,314.0,27800.0,53.0,76.0,1.0
올웨이즈학원,서울특별시 노원구 한글비석로 227,37.6479003,127.0762756,172,153,0.0,153.0,436.0,58698.0,50.0,58.0,2.0
리틀모짜르트음악교습소,서울특별시 노원구 중계로16가길 10,37.6509372,127.0818059,74,5,0.0,5.0,302.0,38735.0,51.0,44.0,0.0
상상나무수학교습소,서울특별시 노원구 한글비석로15길 48,37.6562734,127.0734915,54,6,0.0,6.0,90.0,5285.0,49.0,66.0,5.0
라임잉글리쉬(Lime English)영어교습소,서울특별시 노원구 덕릉로 669,37.6573787,127.074582,15,3,0.0,3.0,84.0,4674.0,50.0,76.0,7.0
눈높이러닝센터공릉학원,서울특별시 노원구 공릉로34길 10-2,37.6223308,127.0797916,1464,70,0.0,70.0,60.0,2349.0,76.0,40.0,9.0
바퀴달린그림책미술학원,서울특별시 노원구 동일로 1365,37.6505935,127.0612172,12,53,0.0,12.0,94.0,9103.0,66.0,44.0,5.0
공릉해법수학교습소,서울특별시 노원구 동일로192길 77,37.6280811,127.0768426,12,4,0.0,4.0,31.0,1857.0,58.0,52.0,5.0
은빛해법수학교습소,서울특별시 노원구 동일로245가길 41,37.6799626,127.0535049,16,8,0.0,8.0,22.0,469.0,34.0,20.0,6.0
이엘삼성영어노원1캠퍼스학원,서울특별시 노원구 상계로1길 24,37.6570888,127.0617207,90,71,0.0,71.0,103.0,18977.0,88.0,94.0,6.0
마이다스학원,서울특별시 노원구 한글비석로 456,37.6647789,127.0680427,72,74,0.0,72.0,73.0,2800.0,39.0,41.0,4.0
새샘음악교습소,서울특별시 노원구 섬밭로 190,37.6337017,127.0678655,20,9,0.0,9.0,32.0,1081.0,26.0,91.0,7.0
아이끌레르미술학원,서울특별시 노원구 노원로34길 48-4,37.6610057,127.0659031,3,57,0.0,3.0,94.0,3916.0,60.0,73.0,3.0
Hi멘토학원,서울특별시 노원구 동일로191가길 42,37.6268984,127.0711272,42,68,0.0,42.0,36.0,11581.0,31.0,56.0,8.0
비와이(BY)학원,서울특별시 노원구 중계로18길 17,37.6515236,127.0778413,80,80,0.0,80.0,466.0,60357.0,65.0,80.0,2.0
공연수학교습소,서울특별시 노원구 동일로192가길 9,37.6265327,127.0736959,15,9,0.0,9.0,39.0,12289.0,60.0,65.0,6.0
영어잘하는아이들영어교습소,서울특별시 노원구 한글비석로 232,37.6483769,127.0769291,12,4,0.0,4.0,457.0,59398.0,56.0,64.0,2.0
성균관서당한자교습소,서울특별시 노원구 한글비석로 264,37.6509746,127.0771635,7,3,0.0,3.0,472.0,60548.0,62.0,78.0,2.0
연세실용음악학원,서울특별시 노원구 노원로 257,37.6402604,127.072739,27,53,0.0,27.0,36.0,11987.0,41.0,66.0,6.0
11월의기적학원,서울특별시 노원구 중계로 172-6,37.6500418,127.0813677,42,91,0.0,42.0,381.0,55439.0,63.0,52.0,2.0
홍석화수학전문학원,서울특별시 노원구 한글비석로 264,37.6509746,127.0771635,86,137,0.0,86.0,472.0,60465.0,62.0,78.0,2.0
텐브릿지어학원,서울특별시 노원구 중계로18길 13,37.6513077,127.0778154,68,162,0.0,68.0,465.0,60314.0,64.0,78.0,2.0
튼튼영어마스터클럽월계3동학원,서울특별시 노원구 마들로 31,37.6178025,127.0685682,50,72,0.0,50.0,28.0,765.0,23.0,30.0,1.0
키즈위즈어학원,서울특별시 노원구 덕릉로86길 65,37.6610028,127.0784879,190,237,0.0,190.0,33.0,1319.0,27.0,52.0,10.0
하이레벨수학전문학원,서울특별시 노원구 중계로 198,37.6519314,127.0795434,82,70,1.0,70.0,384.0,55037.0,60.0,50.0,3.0
캠브리지영어학원,서울특별시 노원구 덕릉로60길 192,37.6323466,127.0439425,18,76,0.0,18.0,1.0,121.0,3.0,1.0,1.0
역전타에듀학원,서울특별시 노원구 동일로 1280,37.6427206,127.0665677,94,74,0.0,74.0,30.0,791.0,37.0,96.0,10.0
이화엘음악교습소,서울특별시 노원구 덕릉로71길 30,37.651184,127.0705238,6,3,0.0,3.0,148.0,6650.0,34.0,56.0,1.0
김철수必수학학원,서울특별시 노원구 중계로 201,37.6504487,127.0777705,305,140,0.0,140.0,465.0,60055.0,64.0,71.0,2.0
엠플랜(MPLAN)수학전문학원,서울특별시 노원구 한글비석로 264,37.6509746,127.0771635,42,67,0.0,42.0,472.0,60509.0,62.0,78.0,2.0
눈높이러닝센터과기대학원,서울특별시 노원구 동일로192길 41,37.6267014,127.0750858,1305,79,0.0,79.0,46.0,12615.0,66.0,65.0,5.0
선일학원,서울특별시 노원구 한글비석로52길 34,37.6659508,127.0666358,32,82,0.0,32.0,63.0,2513.0,28.0,43.0,2.0
엘리스클럽학원,서울특별시 노원구 섬밭로 229,37.6354449,127.0642439,100,71,0.0,71.0,46.0,2646.0,28.0,64.0,6.0
김만억학원,서울특별시 노원구 동일로 1547,37.666557,127.0569221,57,90,0.0,57.0,94.0,3927.0,27.0,61.0,5.0
초록나무미술교습소,서울특별시 노원구 동일로 1368,37.6507502,127.0619389,133,7,0.0,7.0,94.0,8907.0,70.0,40.0,5.0
국보영어교습소,서울특별시 노원구 한글비석로 242,37.6493084,127.0769639,30,5,0.0,5.0,474.0,60265.0,59.0,66.0,2.0
도레미음악교습소,서울특별시 노원구 누원로 18,37.6860515,127.0535696,40,5,0.0,5.0,9.0,306.0,6.0,11.0,2.0
이주연영어학원,서울특별시 노원구 노원로 547,37.6607248,127.0569722,49,77,0.0,49.0,61.0,1653.0,11.0,65.0,4.0
카이수학학원,서울특별시 노원구 한글비석로 325,37.6563943,127.0777101,24,70,0.0,24.0,75.0,5272.0,22.0,46.0,4.0
아테나영어교습소,서울특별시 노원구 한글비석로 264,37.6509746,127.0771635,9,4,0.0,4.0,472.0,60547.0,62.0,78.0,2.0
에코독서실,서울특별시 노원구 한글비석로 444,37.6636731,127.0685418,106,106,0.0,106.0,85.0,2992.0,56.0,48.0,3.0
원스톱직업학원,서울특별시 노원구 동일로 1371,37.6509451,127.0611209,224,99,0.0,99.0,98.0,9135.0,71.0,48.0,5.0
발레앤코학원,서울특별시 노원구 상계로7길 39,37.6583767,127.0642514,84,80,0.0,80.0,85.0,15381.0,86.0,74.0,5.0
능률쥬니어랩영어교습소,서울특별시 노원구 동일로 1541,37.6658552,127.0570269,18,6,0.0,6.0,92.0,3597.0,27.0,54.0,5.0
이진수영어교습소,서울특별시 노원구 노원로22길 77,37.6485878,127.0742954,8,4,0.0,4.0,451.0,59230.0,53.0,69.0,4.0
조샘영어교습소,서울특별시 노원구 한글비석로 232,37.6483769,127.0769291,15,7,0.0,7.0,457.0,59395.0,56.0,64.0,2.0
I-PMP학원,서울특별시 노원구 공릉로 152-5,37.6236341,127.0798258,228,69,0.0,69.0,75.0,2812.0,77.0,31.0,3.0
시각과공간미술학원,서울특별시 노원구 동일로 1027,37.6218258,127.0738848,120,66,0.0,66.0,21.0,1074.0,79.0,49.0,9.0
그랜드음악학원,서울특별시 노원구 누원로 22,37.6870816,127.0530523,92,49,0.0,49.0,9.0,262.0,4.0,3.0,2.0
한솔영재학원,서울특별시 노원구 누원로 22,37.6870816,127.0530523,75,105,0.0,75.0,9.0,236.0,4.0,3.0,2.0
메카수학교습소,서울특별시 노원구 공릉로38길 7 (),37.6233298,127.0798859,207,9,0.0,9.0,72.0,2890.0,82.0,30.0,3.0
EnglishHeaven영어교습소,서울특별시 노원구 한글비석로 254,37.6504079,127.0770904,8,4,0.0,4.0,476.0,60726.0,62.0,71.0,2.0
수락창의미술교습소,서울특별시 노원구 누원로 22,37.6870816,127.0530523,24,8,0.0,8.0,9.0,303.0,4.0,3.0,2.0
손랩정보영재학원,서울특별시 노원구 중계로 218,37.6508704,127.0760059,66,49,0.0,49.0,478.0,60137.0,55.0,77.0,2.0
슬로비매쓰수학학원,서울특별시 노원구 한글비석로 269,37.6517301,127.0767968,42,69,0.0,42.0,474.0,60197.0,57.0,74.0,2.0
han`s상계실용음악학원,서울특별시 노원구 한글비석로24길 44,37.6624978,127.0727803,13,50,0.0,13.0,45.0,1586.0,60.0,77.0,12.0
버팀스카이수학교습소,서울특별시 노원구 한글비석로 232,37.6483769,127.0769291,12,2,0.0,2.0,457.0,59400.0,56.0,64.0,2.0
정수학학원,서울특별시 노원구 한글비석로 227,37.6479003,127.0762756,40,71,0.0,40.0,436.0,58811.0,50.0,58.0,2.0
키즈브라운음악학원,서울특별시 노원구 공릉로46길 6,37.6268785,127.079495,40,53,0.0,40.0,64.0,2707.0,55.0,46.0,3.0
소마사고력수학학원,서울특별시 노원구 한글비석로 232,37.6483769,127.0769291,210,90,1.0,90.0,457.0,59312.0,56.0,64.0,2.0
세이지(Sage)영어학원,서울특별시 노원구 한글비석로 254,37.6504079,127.0770904,100,71,0.0,71.0,476.0,60659.0,62.0,71.0,2.0
제3조재필수학학원,서울특별시 노원구 한글비석로 254,37.6504079,127.0770904,125,157,0.0,125.0,476.0,60605.0,62.0,71.0,2.0
짱솔학원,서울특별시 노원구 한글비석로 264,37.6509746,127.0771635,120,84,0.0,84.0,472.0,60467.0,62.0,78.0,2.0
Y&C학원,서울특별시 노원구 노원로34길 88,37.6628649,127.0661333,48,73,0.0,48.0,73.0,2866.0,46.0,60.0,4.0
플레이그라운드(PLAYGROUND)음악교습소,서울특별시 노원구 한글비석로54길 116,37.6683107,127.0604105,6,7,0.0,6.0,73.0,3400.0,23.0,60.0,4.0
주아트미술교습소,서울특별시 노원구 섬발로 285,37.6408062,127.0620278,27,9,0.0,9.0,44.0,2337.0,21.0,59.0,5.0
달란트음악교습소,서울특별시 노원구 덕릉로71길 5,37.6501609,127.0700389,96,8,0.0,8.0,113.0,6105.0,24.0,51.0,1.0
삼성학원,서울특별시 노원구 공릉로59길 15,37.6331962,127.0710597,92,73,0.0,73.0,25.0,700.0,28.0,102.0,8.0
김유나참국어독해학원,서울특별시 노원구 중계로 206,37.6508711,127.077531,225,182,0.0,182.0,468.0,60426.0,65.0,73.0,2.0
삼성영어중계학원,서울특별시 노원구 한글비석로15길 19,37.6573004,127.0742447,190,88,0.0,88.0,84.0,4589.0,51.0,79.0,7.0
종로엠학원,서울특별시 노원구 섬밭로 139,37.6291633,127.0668178,103,83,0.0,83.0,23.0,664.0,15.0,70.0,6.0
e해법수학월계성원점수학교습소,서울특별시 노원구 마들로3길 37,37.6294153,127.062514,24,4,0.0,4.0,17.0,496.0,23.0,30.0,5.0
허소정국어교습소,서울특별시 노원구 한글비석로 242,37.6493084,127.0769639,10,2,0.0,2.0,474.0,60268.0,59.0,66.0,2.0
중앙오름수학교습소,서울특별시 노원구 동일로184길 6,37.6234776,127.0742091,28,7,0.0,7.0,37.0,12159.0,80.0,41.0,10.0
예하음악교습소,서울특별시 노원구 한글비석로14길 36,37.6588547,127.077351,25,8,0.0,8.0,66.0,4221.0,38.0,62.0,7.0
스마트영어교습소,서울특별시 노원구 덕릉로112길 44,37.6664154,127.0800224,10,5,0.0,5.0,27.0,792.0,21.0,36.0,9.0
시그마수학교습소,서울특별시 노원구 한글비석로 264,37.6509746,127.0771635,36,3,0.0,3.0,472.0,60548.0,62.0,78.0,2.0
우리들음악교습소,서울특별시 노원구 공릉로59길 15,37.6331962,127.0710597,20,5,0.0,5.0,25.0,768.0,28.0,102.0,8.0
아트앤하트중계본동은행사거리미술교습소,서울특별시 노원구 한글비석로 232,37.6483769,127.0769291,12,3,0.0,3.0,457.0,59399.0,56.0,64.0,2.0
연두미술교습소,서울특별시 노원구 중계로 8길 29,37.6462721,127.0844407,20,9,0.0,9.0,43.0,1516.0,16.0,21.0,0.0
중계을지하연과학교습소,서울특별시 노원구 한글비석로5길 62,37.6463141,127.0753281,30,5,0.0,5.0,240.0,27202.0,34.0,44.0,4.0
로제타스톤영어교습소,서울특별시 노원구 덕릉로 780,37.6669564,127.0796885,9,3,0.0,3.0,27.0,794.0,22.0,36.0,8.0
아잉카-서울노원학원,서울특별시 노원구 동일로191가길 51,37.6272567,127.0706407,80,73,0.0,73.0,35.0,11543.0,27.0,72.0,8.0
음악을만들다음악교습소,서울특별시 노원구 중계로 230,37.652831,127.0759265,36,9,0.0,9.0,408.0,56424.0,52.0,67.0,4.0
수학의달인중계본점수학교습소,서울특별시 노원구 중계로14길 28,37.6496828,127.0822503,29,7,0.0,7.0,269.0,37249.0,44.0,37.0,0.0
제스트수학교습소,서울특별시 노원구 노원로 540,37.6614571,127.0593957,20,4,0.0,4.0,58.0,2486.0,20.0,77.0,4.0
해법수학공릉점수학교습소,서울특별시 노원구 화랑로51길 78,37.6257733,127.0873569,18,6,0.0,6.0,47.0,1003.0,19.0,78.0,11.0
1:1학원,서울특별시 노원구 노해로 501,37.6552273,127.0635578,40,107,0.0,40.0,117.0,19495.0,102.0,87.0,7.0
(상계분원)오메가수학학원,서울특별시 노원구 한글비석로 460,37.66447,127.0669577,80,78,0.0,78.0,69.0,2643.0,40.0,43.0,4.0
WiZ로봇학원,서울특별시 노원구 한글비석로 271,37.6519943,127.0770251,16,76,0.0,16.0,479.0,60488.0,58.0,73.0,3.0
조의영어수학영역학원,서울특별시 노원구 중계로 219,37.6504923,127.0756701,60,75,0.0,60.0,481.0,60072.0,57.0,72.0,2.0
뮤직피플실용음악학원,서울특별시 노원구 석계로1길 22,37.6155573,127.0634946,15,50,0.0,15.0,29.0,922.0,19.0,9.0,2.0
엔와이댄스학원,서울특별시 노원구 상계로7길 39,37.6583767,127.0642514,97,77,0.0,77.0,85.0,15384.0,86.0,74.0,5.0
지니(GENIE)영어교습소,서울특별시 노원구 섬밭로 134,37.6284092,127.0692533,24,6,0.0,6.0,28.0,10998.0,20.0,80.0,8.0
에듀탑수학교습소,서울특별시 노원구 동일로 1279,37.642026,127.0641086,15,5,0.0,5.0,37.0,1024.0,35.0,98.0,7.0
