학원명,도로명주소,위도,경도,정원합계,일시수용능력인원합계,어린이보호구역여부,인원,근처학원수,근처수강생총합,근처휴게음식점수,근처횡단보도수,사고건수
토즈하계스마트독서실,서울특별시 노원구 공릉로63길 13,37.6348629,127.0705387,122,122,0.0,122.0,27.0,680.0,38.0,96.0,5.0
클라라음악학원,서울특별시 노원구 동일로237길 46,37.6736727,127.0528512,310,31,0.0,31.0,29.0,1604.0,39.0,18.0,5.0
윤선생우리집앞영어교실상승학원,서울특별시 노원구 동일로192길 37,37.6266059,127.074855,150,211,0.0,150.0,43.0,12532.0,67.0,65.0,7.0
남주희실용음악학원,서울특별시 노원구 동일로 1532,37.6653113,127.0579985,9,56,0.0,9.0,90.0,3212.0,24.0,77.0,5.0
조이앤플레이음악학원,서울특별시 노원구 동일로217길 58,37.6532867,127.0579391,28,30,0.0,28.0,67.0,6319.0,63.0,57.0,6.0
김영편입노원캠퍼스학원,서울특별시 노원구 동일로 1396,37.6532435,127.0613144,2430,305,0.0,305.0,98.0,21312.0,91.0,72.0,6.0
티씨에스(TCS)실용음악학원,서울특별시 노원구 동일로191길 15,37.625011,127.0721986,4,120,0.0,4.0,31.0,11489.0,49.0,64.0,7.0
청담어학원,서울특별시 노원구 중계로 218,37.6508704,127.0760059,135,557,1.0,135.0,478.0,60051.0,55.0,77.0,2.0
고려e학원,서울특별시 노원구 누원로 20,37.6869316,127.0528593,140,87,0.0,87.0,9.0,224.0,4.0,3.0,2.0
서진독서실,서울특별시 노원구 노원로 460,37.6575945,127.0665165,212,130,0.0,130.0,79.0,14535.0,90.0,56.0,3.0
학여울연세음악학원,서울특별시 노원구 동일로207길 184,37.6363492,127.0613398,36,120,0.0,36.0,44.0,2518.0,19.0,54.0,3.0
도전깨우침비상과학수학학원,서울특별시 노원구 한글비석로 271,37.6519943,127.0770251,30,76,0.0,30.0,479.0,60474.0,58.0,73.0,3.0
엘리트보습학원,서울특별시 노원구 동일로218길 17,37.6539147,127.0619142,55,87,0.0,55.0,108.0,21769.0,96.0,75.0,5.0
조승건수학전문학원,서울특별시 노원구 한글비석로 269,37.6517301,127.0767968,88,70,0.0,70.0,474.0,60169.0,57.0,74.0,2.0
요리수창의교육학원,서울특별시 노원구 공릉로 146,37.623032,127.0795563,66,45,0.0,45.0,73.0,2861.0,81.0,37.0,8.0
엠파워학원,서울특별시 노원구 중계로 218,37.6508704,127.0760059,96,101,0.0,96.0,478.0,60090.0,55.0,77.0,2.0
크레버스영재관중계제2지점학원,서울특별시 노원구 중계로 217,37.6504871,127.0759853,854,169,0.0,169.0,488.0,60248.0,58.0,74.0,2.0
예스(Yes)독서실,서울특별시 노원구 공릉로46길 3,37.6271808,127.0791659,126,126,0.0,126.0,53.0,2472.0,54.0,40.0,2.0
디자인K미술학원,서울특별시 노원구 노해로 492,37.6544405,127.0626886,400,211,0.0,211.0,113.0,21822.0,100.0,91.0,6.0
주주(JUJU)실용음악학원,서울특별시 노원구 중계로12가길 29,37.6483323,127.0829105,600,59,0.0,59.0,72.0,2964.0,29.0,30.0,0.0
