,Unnamed: 0,학원명,도로명주소,위도,경도,정원합계,일시수용능력인원합계
64,64,피아노리음악교습소,서울특별시 광진구 아차산로55길 43-1,37.5393809,127.0863237,45,6.0
65,65,신연세보습학원,서울특별시 광진구 자양로 294-1,37.5518417,127.0924505,60,70.0
66,66,애니벅스미술학원,서울특별시 광진구 능동로 161,37.5452955,127.0727509,720,66.0
67,67,엘림피아노교습소,서울특별시 광진구 아차산로21길 50,37.5440955,127.0661041,9,3.0
68,68,잉글리쉬무무자양보습학원,서울특별시 광진구 뚝섬로 558,37.5340724,127.0718277,740,45.0
69,69,HK수학교습소,서울특별시 광진구 구의강변로 45,37.5349817,127.0912558,24,8.0
70,70,최용훈국어광진광장학원,서울특별시 광진구 광나루로54길 6,37.5405539,127.0958609,57,74.0
71,71,더노엠워커힐어학학원,서울특별시 광진구 아차산로 623,37.548496,127.106796,132,90.0
72,72,메아리음악교습소,서울특별시 광진구 아차산로44길 36,37.5364604,127.0789832,25,5.0
73,73,이화이레음악학원,서울특별시 광진구 동일로72길 46,37.5653083,127.0799294,540,13.0
74,74,한양음악학원,서울특별시 광진구 아차산로 503,37.5425096,127.0977483,153,15.0
75,75,엠플러스광진학원,서울특별시 광진구 아차산로 494,37.541154,127.0967128,80,123.0
76,76,THN최상위영수학원,서울특별시 광진구 자양로 186,37.5440106,127.0851259,90,100.0
77,77,음악천사피아노교습소,서울특별시 광진구 광나루로40길 93,37.5405466,127.0887217,30,5.0
78,78,에듀프라임학원,서울특별시 광진구 영화사로 64-1,37.5547344,127.0932663,468,91.0
79,79,우리들학원,서울특별시 광진구 용마산로 96,37.5623037,127.0873816,48,96.0
80,80,베스트최현숙학원,서울특별시 광진구 광나루로 620,37.5407033,127.0960559,106,126.0
81,81,피아주르음악교습소,서울특별시 광진구 동일로56길 38,37.5555332,127.0740922,25,7.0
82,82,하모니음악교습소,서울특별시 광진구 구의로16길 68,37.5422944,127.0934762,25,5.0
83,83,수피아노교습소,서울특별시 광진구 뚝섬로36가길 8,37.5321307,127.0710209,2,2.0
84,84,아르떼피아노교습소,서울특별시 광진구 천호대로129길 48,37.5535568,127.0919635,50,5.0
85,85,이화멜로디음악교습소,서울특별시 광진구 뚝섬로56가길 13,37.5285792,127.0834469,40,9.0
86,86,위드맴버스학원,서울특별시 광진구 광나루로 582,37.5430855,127.0933652,100,76.0
87,87,TOP명문보습학원,서울특별시 광진구 뚝섬로 657,37.5316633,127.0826361,235,136.0
88,88,더상승플러스학원,서울특별시 광진구 용마산로 112,37.5636979,127.087144,200,113.0
89,89,구의감각학원,서울특별시 광진구 자양로 162,37.5421002,127.0842633,215,96.0
90,90,세움수학교습소,서울특별시 광진구 능동로13길 70-1,37.544865,127.0692173,50,5.0
91,91,헬리오수학교습소,서울특별시 광진구 아차산로 499,37.5424654,127.0962926,4,2.0
92,92,명장보습학원,서울특별시 광진구 자양번영로 42,37.5333293,127.0759792,589,81.0
93,93,유니센스일대일영어통역학원,서울특별시 광진구 능동로 333,37.5593981,127.0804083,11,76.0
94,94,강한수학교습소,서울특별시 광진구 구의강변로 96,37.5384981,127.0946643,27,9.0
95,95,브레인학원,서울특별시 광진구 능동로47길 7,37.5629294,127.0821809,528,70.0
96,96,참조은예일보습학원,서울특별시 광진구 광나루로 531,37.54512649999999,127.088676,259,15.0
97,97,JLS일본어교습소,서울특별시 광진구 아차산로 498,37.5412812,127.0968001,6,3.0
98,98,모노아트미술교습소,서울특별시 광진구 광나루로 635,37.5406205,127.0986045,24,8.0
99,99,표현영어학원,서울특별시 광진구 구의로16길 93,37.5414759,127.0945981,30,75.0
100,100,뿌리깊은수학나무보습학원,서울특별시 광진구 구의로16길 91,37.5415644,127.0945118,50,66.0
101,101,바스키즈미술학원,서울특별시 광진구 구의강변로 106,37.5399001,127.0948193,71,59.0
102,102,써니이스턴(Sunny EST)영어학원,서울특별시 광진구 자양로 160,37.5418772,127.0842465,45,77.0
103,103,아트센터173미술교습소,서울특별시 광진구 천호대로117길 62,37.5576523,127.0853206,9,3.0
104,104,삼성음악교습소,서울특별시 광진구 아차산로70길 17-17,37.5414998,127.1032682,25,9.0
105,105,경희제일피아노음악교습소,서울특별시 광진구 광나루로30길 35,37.5436828,127.0817666,55,5.0
106,106,뉴프라임피아노교습소,서울특별시 광진구 광나루로56길 29,37.53739729999999,127.0976212,4,2.0
107,107,구의이화음악교습소,서울특별시 광진구 아차산로59길 42,37.5402908,127.0908091,50,5.0
108,108,유토피아수학교습소,서울특별시 광진구 군자로12길 16,37.5510068,127.0719873,35,5.0
109,109,한국가야금교습소,서울특별시 광진구 능동로19길 35,37.5470672,127.071841,27,9.0
110,110,라라피아노교습소,서울특별시 광진구 자양번영로11길 35-10,37.5369922,127.0745209,18,1.0
111,111,이미선음악교습소,서울특별시 광진구 자양번영로1길 23,37.5307087,127.0735819,30,9.0
112,112,예림피아노교습소,서울특별시 광진구 광나루로38길 73,37.54160150000001,127.0873097,20,5.0
113,113,비인피아노교습소,서울특별시 광진구 자양로4나길 47,37.530536,127.0888448,2,5.0
114,114,디지털컴퓨터교습소,서울특별시 광진구 아차산로 530,37.5419395,127.0996713,50,5.0
115,115,명성피아노교습소,서울특별시 광진구 뚝섬로32길 4,37.5353741,127.0672602,15,5.0
116,116,린음악교습소,서울특별시 광진구 자양로13길 87-1,37.5328441,127.0803767,65,5.0
117,117,모짜르트음악교습소,서울특별시 광진구 뚝섬로32길 23,37.5344676,127.0670898,15,5.0
118,118,예성음악교습소,서울특별시 광진구 자양로30길 14,37.5436321,127.0857079,50,5.0
119,119,새쇼팽피아노교습소,서울특별시 광진구 뚝섬로54길 35,37.5299791,127.0803246,55,5.0
120,120,슬기피아노교습소,서울특별시 광진구 뚝섬로37길 11,37.5350143,127.0716811,6,2.0
121,121,모마미술교습소,서울특별시 광진구 아차산로 522,37.5419395,127.0996713,154,8.0
122,122,소해서예교습소,서울특별시 광진구 광나루로 606,37.5413415,127.0951373,36,9.0
123,123,프레이즈뮤직음악교습소,서울특별시 광진구 천호대로119길 26,37.5560021,127.0862428,70,8.0
124,124,라음피아노음악교습소,서울특별시 광진구 아차산로 549,37.5441452,127.1015274,36,9.0
125,125,양혜원피아노교습소,서울특별시 광진구 자양로32길 72,37.5439803,127.0891598,15,5.0
126,126,송현서당교습소,서울특별시 광진구 영화사로9길 63,37.5571024,127.0940141,5,5.0
127,127,베르디음악교습소,서울특별시 광진구 능동로4길 65,37.5317681,127.0705094,40,5.0
128,128,이성희피아노교습소,서울특별시 광진구 아차산로 552,37.5431583,127.1041888,25,5.0
129,129,위드성신피아노교습소,서울특별시 광진구 자양로22길 24,37.5394904,127.0846921,35,8.0
130,130,다빈치미술교습소,서울특별시 광진구 아차산로44길 35,37.5362959,127.0790291,8,4.0
131,131,메이저수학학원,서울특별시 광진구 자양로3길 59,37.5295743,127.0834717,42,83.0
132,132,박선생과학교습소,서울특별시 광진구 아차산로 464,37.5396198,127.0936261,12,6.0
133,133,덴간호조무사학원,서울특별시 광진구 아차산로 201,37.5417904,127.0660431,560,145.0
134,134,메타스콜레광진학원,서울특별시 광진구 광나루로 590,37.5425759,127.0939174,10,68.0
135,135,매쓰피아수학학원,서울특별시 광진구 광나루로 584,37.54305129999999,127.0935523,81,70.0
136,136,리틀모짜르트피아노교습소,서울특별시 광진구 천호대로136길 43,37.547655,127.0902789,6,2.0
137,137,아주특별한미술시간교습소,서울특별시 광진구 아차산로69길 36,37.5436783,127.0986921,12,6.0
138,138,그림이야기미술교습소,서울특별시 광진구 뚝섬로33길 20,37.5356572,127.0700386,135,9.0
139,139,뉴스트학원,서울특별시 광진구 용마산로5길 47,37.5573412,127.0851373,156,75.0
140,140,국풍2000풀무국어학원,서울특별시 광진구 용마산로 92,37.5618479,127.0874695,136,68.0
141,141,스터디엔카페독서실,서울특별시 광진구 자양로9길 5,37.53367739999999,127.0841031,130,124.0
142,142,비발디피아노음악교습소,서울특별시 광진구 자양로40길 40,37.5472419,127.0908503,100,9.0
143,143,이엔아이음악학원,서울특별시 광진구 구의강변로 88,37.5383844,127.0941201,70,20.0
144,144,광진일관정상어학원,서울특별시 광진구 아차산로 462,37.539496,127.0934178,160,120.0
145,145,은혜피아노학원,서울특별시 광진구 아차산로 499,37.5424654,127.0962926,51,20.0
146,146,발레미학무용학원,서울특별시 광진구 뚝섬로 558,37.5340724,127.0718277,40,63.0
147,147,라온제나반올림음악학원,서울특별시 광진구 뚝섬로 541,37.5349189,127.0703778,120,33.0
148,148,BLS에듀센터영어(Edu Center English)학원,서울특별시 광진구 광나루로 607,37.5419607,127.095718,58,77.0
149,149,에듀뱅크과학국어영어학원,서울특별시 광진구 용마산로 89,37.5615905,127.0870752,24,80.0
150,150,다금바이올린교습소,서울특별시 광진구 광나루로 635,37.5406205,127.0986045,4,4.0
151,151,지엘이씨어학학원,서울특별시 광진구 자양로 90,37.5358295,127.084207,166,260.0
152,152,비바체음악교습소,서울특별시 광진구 자양로 317-1,37.553793,127.0935918,38,9.0
153,153,온탑(ONTOP)학원,서울특별시 광진구 자양번영로 48,37.5337708,127.0761036,40,82.0
154,154,소원서예교습소,서울특별시 광진구 뚝섬로 649,37.5316229,127.0818249,26,8.0
155,155,프리연기학원,서울특별시 광진구 아차산로30길 39,37.53889059999999,127.0673902,40,108.0
156,156,1095보습학원,서울특별시 광진구 광나루로 588,37.5426814,127.0938172,64,101.0
157,157,하늘구름피아노교습소,서울특별시 광진구 뚝섬로58가길 26,37.5304114,127.0833957,24,5.0
158,158,강한학원,서울특별시 광진구 뚝섬로 646,37.5313977,127.0811578,70,92.0
159,159,생각하는미술교습소,서울특별시 광진구 자양로3길 68,37.5295734,127.0829834,15,7.0
160,160,꿈꾸는현대미술교습소,서울특별시 광진구 능동로6길 16,37.5340972,127.0690377,133,7.0
161,161,윤선생영어숲광진보습학원,서울특별시 광진구 뚝섬로 545,37.5347885,127.0712566,324,81.0
162,162,유톡영어교습소,서울특별시 광진구 동일로72길 46,37.5653083,127.0799294,24,8.0
163,163,명인독서실,서울특별시 광진구 뚝섬로56길 29,37.530134,127.0827905,140,70.0
164,164,엠아이파라다이스아트(MIParadiseArt)미술교습소,서울특별시 광진구 광장로3길 2,37.5472723,127.1032178,15,9.0
165,165,네오매쓰수학학원,서울특별시 광진구 구의강변로3길 11,37.5356917,127.0914002,155,92.0
166,166,뉴튼의어깨과학교습소,서울특별시 광진구 뚝섬로 552,37.5342435,127.0712757,12,4.0
167,167,문성중국어교습소,서울특별시 광진구 긴고랑로7길 64,37.5660746,127.0806666,24,4.0
168,168,오채미술학원,서울특별시 광진구 자양로 251,37.5490121,127.0892921,70,47.0
169,169,오름수학교습소,서울특별시 광진구 뚝섬로35길 9,37.5356572,127.0700386,57,4.0
170,170,피엠피(PMP)영어학원,서울특별시 광진구 광나루로 606,37.5413415,127.0951373,69,82.0
171,171,신명음악교습소,서울특별시 광진구 뚝섬로56길 44,37.5294443,127.0825831,20,3.0
172,172,그레이스음악교습소,서울특별시 광진구 자양로51길 59,37.5550462,127.0907077,20,8.0
173,173,샤론피아노교습소,서울특별시 광진구 뚝섬로52라길 36,37.5293246,127.0805285,45,5.0
174,174,홍피아노교습소,서울특별시 광진구 군자로 165,37.5555904,127.076958,12,5.0
175,175,일러스트만화학원,서울특별시 광진구 능동로 347-1,37.5605894,127.0811042,90,30.0
176,176,다솜음악학원,서울특별시 광진구 용마산로7길 30,37.5595393,127.0861376,205,22.0
177,177,에이스원영어학원,서울특별시 광진구 뚝섬로 541,37.5349189,127.0703778,18,71.0
178,178,아트피플미술학원,서울특별시 광진구 광나루로 580,37.5432411,127.0932438,80,58.0
179,179,이황학원,서울특별시 광진구 영화사로 64,37.5548726,127.0930904,264,71.0
180,180,눈높이러닝센터중곡보습학원,서울특별시 광진구 능동로38길 39,37.5572097,127.0819886,1305,75.0
181,181,렛츠에듀편입학원,서울특별시 광진구 능동로13길 39,37.5435023,127.0699004,396,152.0
182,182,자성학원,서울특별시 광진구 뚝섬로 552,37.5342435,127.0712757,98,103.0
183,183,베베궁광진어학원,서울특별시 광진구 아차산로 478,37.540312,127.095016,26,147.0
184,184,홍수현의생각하는아이논술교습소,서울특별시 광진구 광나루로52길 41,37.54036560000001,127.0934778,24,6.0
185,185,윤선생영어숲자양보습학원,서울특별시 광진구 뚝섬로56길 38-1,37.5296497,127.0825596,380,71.0
186,186,GBS학습속독교습소,서울특별시 광진구 뚝섬로 539,37.5350424,127.0700693,75,5.0
187,187,파랑키즈어학원,서울특별시 광진구 동일로20길 20,37.5411181,127.0647455,1440,158.0
188,188,올림픽심슨어학원,서울특별시 광진구 광나루로 603,37.5420151,127.0955975,480,164.0
189,189,아발론랭콘광진어학원,서울특별시 광진구 광나루로 602,37.5417868,127.0946996,976,140.0
190,190,에듀코치개별지도구의학원,서울특별시 광진구 광나루로 600,37.5419375,127.0945505,1050,101.0
191,191,센띠아모음악학원,서울특별시 광진구 능동로6길 22,37.534056,127.0692057,250,15.0
192,192,자양에듀플렉스보습학원,서울특별시 광진구 자양번영로 46,37.5336367,127.0760645,480,73.0
193,193,음악에끌림음악교습소,서울특별시 광진구 자양번영로 47-3,37.5338199,127.0754885,16,4.0
194,194,광진ELC어학원,서울특별시 광진구 광나루로 608,37.541167,127.0953041,116,96.0
195,195,아트인마인드미술교습소,서울특별시 광진구 아차산로 552,37.5431583,127.1041888,15,9.0
196,196,선진영어학원,서울특별시 광진구 용마산로 85,37.5612688,127.0871376,30,71.0
197,197,중곡예화음악학원,서울특별시 광진구 능동로49길 19,37.5644802,127.0822388,190,20.0
198,198,리더스영어학원,서울특별시 광진구 아차산로 461,37.5398941,127.0932358,100,72.0
