,Unnamed: 0,도로명주소,업태구분명,좌표
1154,1154,"서울특별시 광진구 능동로 338-1, 1층 (중곡동)",기타 휴게음식점,"37.5424924, 127.071777"
1155,1155,"서울특별시 광진구 아차산로29길 29, 1층 (화양동)",커피숍,"37.5425828, 127.0689288"
1156,1156,"서울특별시 광진구 자양로 293, 1층 (구의동)",기타 휴게음식점,"37.5287142, 127.0883594"
1157,1157,"서울특별시 광진구 아차산로73길 23, 까사나루 1층 (광장동)",커피숍,"37.5463502, 127.1032694"
1158,1158,"서울특별시 광진구 자양로38길 43, 1층 (구의동)",기타 휴게음식점,"37.5464972, 127.0911124"
1159,1159,"서울특별시 광진구 뚝섬로 491, 1층 (자양동)",일반조리판매,"37.53347, 127.0883"
1160,1160,"서울특별시 광진구 능동로13길 73, 1층 (화양동)",일반조리판매,"37.54449, 127.0694089"
1161,1161,"서울특별시 광진구 광나루로 384, 1층 (화양동)",일반조리판매,"37.54006, 127.09724"
1162,1162,"서울특별시 광진구 자양로15길 43-1, 1층 (자양동)",기타 휴게음식점,"37.5340385, 127.0783474"
1163,1163,"서울특별시 광진구 광장로5길 24, 1층 (광장동)",기타 휴게음식점,"37.5485964, 127.1048619"
1164,1164,"서울특별시 광진구 자양로51길 22, 1층 (구의동)",기타 휴게음식점,"37.5540112, 127.0923149"
1165,1165,"서울특별시 광진구 군자로 40, 2층 (화양동)",기타 휴게음식점,"37.5433395, 127.071636"
1167,1167,"서울특별시 광진구 능동로13길 39, 1층 (화양동)",편의점,"37.543819, 127.0698061"
1168,1168,"서울특별시 광진구 아차산로 461, 2층 (구의동)",기타 휴게음식점,"37.5398604, 127.0932221"
1169,1169,"서울특별시 광진구 천호대로143길 8-5, 1층 (광장동)",기타 휴게음식점,"37.5463502, 127.1032694"
1170,1170,"서울특별시 광진구 아차산로30길 8, 1층 (자양동)",기타 휴게음식점,"37.539866, 127.0674768"
1171,1171,"서울특별시 광진구 자양로 131, 지층,1층층 (자양동)",기타 휴게음식점,"37.5287142, 127.0883594"
1172,1172,"서울특별시 광진구 아차산로 272, 지하1층 (자양동)",기타 휴게음식점,"37.538418, 127.07323878135787"
1173,1173,"서울특별시 광진구 천호대로129길 51, 1층 101호 (중곡동)",기타 휴게음식점,"37.553229, 127.0914259"
1174,1174,"서울특별시 광진구 자양로13길 48, 지1층 (자양동)",일반조리판매,"37.5329309, 127.0804176"
1175,1175,"서울특별시 광진구 강변역로 50, 1층 (구의동)",기타 휴게음식점,"37.5346195, 127.0941531"
1176,1176,"서울특별시 광진구 아차산로 537-17, 상가동 1층 2호 (광장동, 광장힐스테이트)",기타 휴게음식점,"37.538847, 127.0919729"
1177,1177,"서울특별시 광진구 아차산로29길 12, 1층 (화양동)",기타 휴게음식점,"37.5425828, 127.0689288"
1178,1178,"서울특별시 광진구 능동로 92, 지1층 (자양동)",기타 휴게음식점,"37.538956049999996, 127.07142585170553"
1179,1179,"서울특별시 광진구 아차산로78길 72, 1층 101호 (광장동)",기타 휴게음식점,"37.5512134, 127.11048207590466"
1180,1180,"서울특별시 광진구 아차산로33길 68, 1-2층 (화양동)",커피숍,"37.5418162, 127.0705566"
1181,1181,"서울특별시 광진구 능동로 258, 1층 (능동)",기타 휴게음식점,"37.5340314, 127.0678046"
1182,1182,"서울특별시 광진구 자양로 278, 1층 (구의동)",커피숍,"37.5287142, 127.0883594"
1183,1183,"서울특별시 광진구 광나루로52길 41, 1층 (구의동)",커피숍,"37.5400271, 127.0927517"
1184,1184,"서울특별시 광진구 자양로 116, 1층 112-113호 (구의동)",기타 휴게음식점,"37.5287142, 127.0883594"
1185,1185,"서울특별시 광진구 군자로 76, 1층 (군자동)",커피숍,"37.5433395, 127.071636"
1186,1186,"서울특별시 광진구 자양로 254, 1층 (구의동)",커피숍,"37.5287142, 127.0883594"
1187,1187,"서울특별시 광진구 광나루로 410, 1층 (화양동)",일반조리판매,"37.54006, 127.09724"
1188,1188,"서울특별시 광진구 동일로20길 72, 1층 (자양동)",기타 휴게음식점,"37.5405118, 127.0668855"
1189,1189,"서울특별시 광진구 강변역로 50, 1층 (구의동)",기타 휴게음식점,"37.5346195, 127.0941531"
1190,1190,"서울특별시 광진구 능동로32길 65, 1층 (능동)",기타 휴게음식점,"37.5554482, 127.078579"
1191,1191,"서울특별시 광진구 광나루로 619, 1층 (광장동)",기타 휴게음식점,"37.54006, 127.09724"
1192,1192,"서울특별시 광진구 능동로13길 100, 1층 101호 (화양동)",기타 휴게음식점,"37.54449, 127.0694089"
1193,1193,"서울특별시 광진구 능동로19길 15, 1층 101호 (화양동)",기타 휴게음식점,"37.5468693, 127.0727958"
1194,1194,"서울특별시 광진구 아차산로39길 38-6, 지하1~4층 (자양동)",커피숍,"37.5381412, 127.0788822"
1195,1195,"서울특별시 광진구 강변역로 50, 1층 105호 (구의동)",기타 휴게음식점,"37.5346195, 127.0941531"
1196,1196,"서울특별시 광진구 능동로 18, 1층 104호 (자양동)",커피숍,"37.5340314, 127.0678046"
1197,1197,"서울특별시 광진구 군자로 35, 1층 (화양동)",일반조리판매,"37.5433395, 127.071636"
1198,1198,"서울특별시 광진구 구의강변로 38, 지2층 (구의동)",커피숍,"37.53552, 127.09211"
1199,1199,"서울특별시 광진구 아차산로76길 27, 1층 112호 (광장동)",기타 휴게음식점,"37.5467113, 127.1076358"
1200,1200,"서울특별시 광진구 아차산로73길 8, 1층 (광장동)",기타 휴게음식점,"37.5463502, 127.1032694"
1201,1201,"서울특별시 광진구 긴고랑로44길 4, 지1층 (중곡동)",커피숍,"37.5591433, 127.0949558"
1202,1202,"서울특별시 광진구 광장로 66, 1층 2호 (광장동)",기타 휴게음식점,"37.5473486, 127.1041974"
1203,1203,"서울특별시 광진구 아차산로33길 68, 지1층 (화양동)",커피숍,"37.5418162, 127.0705566"
1204,1204,"서울특별시 광진구 자양로15길 18, 지층 (자양동)",기타 휴게음식점,"37.5340385, 127.0783474"
1205,1205,"서울특별시 광진구 능동로 141, 1층 (화양동)",커피숍,"37.5340314, 127.0678046"
1206,1206,"서울특별시 광진구 아차산로 413, 1층 (구의동)",커피숍,"37.538847, 127.0919729"
1207,1207,"서울특별시 광진구 뚝섬로52길 41, 1층 (자양동)",기타 휴게음식점,"37.5303492, 127.0788659"
1208,1208,"서울특별시 광진구 광나루로 430, 1층 (화양동)",기타 휴게음식점,"37.54006, 127.09724"
1209,1209,"서울특별시 광진구 자양로22길 18, 1층 (구의동)",기타 휴게음식점,"37.5396939, 127.0857016"
1210,1210,"서울특별시 광진구 능동로 92, 지층 (자양동)",기타 휴게음식점,"37.538956049999996, 127.07142585170553"
1211,1211,"서울특별시 광진구 뚝섬로43길 18, 1층 (자양동)",기타 휴게음식점,"37.5336227, 127.0771866"
1212,1212,"서울특별시 광진구 광나루로 361, 1층 (군자동)",일반조리판매,"37.54006, 127.09724"
1213,1213,"서울특별시 광진구 자양번영로 32, 1층 (자양동)",편의점,"37.529737, 127.0746347"
1214,1214,"서울특별시 광진구 면목로 195, 2층 (중곡동)",일반조리판매,"37.5671595, 127.0819519"
1215,1215,"서울특별시 광진구 능동로 92, 지층 (자양동)",기타 휴게음식점,"37.538956049999996, 127.07142585170553"
1216,1216,"서울특별시 광진구 자양로15길 43, 1층 (자양동)",기타 휴게음식점,"37.5340385, 127.0783474"
1217,1217,"서울특별시 광진구 능동로13길 39, 1층 (화양동)",기타 휴게음식점,"37.543819, 127.0698061"
1218,1218,"서울특별시 광진구 광나루로 441, 1층 (능동)",커피숍,"37.5468262, 127.0766379"
1219,1219,"서울특별시 광진구 용마산로23길 28, 1층 (중곡동)",기타 휴게음식점,"37.5659063, 127.0855776"
1220,1220,"서울특별시 광진구 광장로 59, 1층 (광장동)",기타 휴게음식점,"37.5473486, 127.1041974"
1221,1221,"서울특별시 광진구 동일로52길 3, 1층 (군자동)",기타 휴게음식점,"37.5545518, 127.0720904"
1222,1222,"서울특별시 광진구 능동로 92, 지하1층 (자양동)",기타 휴게음식점,"37.538956049999996, 127.07142585170553"
1223,1223,"서울특별시 광진구 동일로4길 50-2, 1층 (자양동)",기타 휴게음식점,"37.5353403, 127.0643111"
1224,1224,"서울특별시 광진구 긴고랑로25길 29, 1층 (중곡동)",편의점,"37.5613848, 127.0861269"
1225,1225,"서울특별시 광진구 자양번영로 32, 지층 (자양동)",기타 휴게음식점,"37.529737, 127.0746347"
1226,1226,"서울특별시 광진구 능동로 172, 1층 (화양동)",일반조리판매,"37.5340314, 127.0678046"
1227,1227,"서울특별시 광진구 능동로13길 89, 1층 (화양동)",기타 휴게음식점,"37.54449, 127.0694089"
1228,1228,"서울특별시 광진구 능동로 18, 1층 101호 (자양동, 이튼타워리버3차)",기타 휴게음식점,"37.5340314, 127.0678046"
1229,1229,"서울특별시 광진구 능동로 298, 1층 (능동)",기타 휴게음식점,"37.5340314, 127.0678046"
1230,1230,"서울특별시 광진구 능동로31길 22, 1층 (군자동)",기타 휴게음식점,"37.5563178, 127.077173"
1231,1231,"서울특별시 광진구 자양로 142, 1층 (구의동)",기타 휴게음식점,"37.5287142, 127.0883594"
1232,1232,"서울특별시 광진구 자양로 93, 1층 (자양동)",기타 휴게음식점,"37.5287142, 127.0883594"
1233,1233,"서울특별시 광진구 동일로24길 96, 지하1층 (화양동)",커피숍,"37.5431081, 127.0682804"
1234,1234,"서울특별시 광진구 아차산로 375, 1층 104호 (구의동)",커피숍,"37.538847, 127.0919729"
1235,1235,"서울특별시 광진구 능동로38길 41, 1층 (중곡동)",기타 휴게음식점,"37.5570891, 127.08213799704816"
1236,1236,"서울특별시 광진구 뚝섬로 507, 1층 (자양동)",일반조리판매,"37.5365285, 127.0626169"
1237,1237,"서울특별시 광진구 자양로3길 34, 1층 (자양동)",일반조리판매,"37.5305798, 127.0839974"
1238,1238,"서울특별시 광진구 뚝섬로 470, 1층 (자양동)",커피숍,"37.53347, 127.0883"
1239,1239,"서울특별시 광진구 뚝섬로38길 12, 1층 (자양동)",커피숍,"37.533507, 127.0729383"
1240,1240,"서울특별시 광진구 능동로36길 22, 1층 (능동)",기타 휴게음식점,"37.5565026, 127.0790563"
1241,1241,"서울특별시 광진구 군자로 105-1, 1층 (군자동)",일반조리판매,"37.5433395, 127.071636"
1242,1242,"서울특별시 광진구 아차산로 220, 지층 (자양동)",기타 휴게음식점,"37.538847, 127.0919729"
1243,1243,"서울특별시 광진구 능동로 49, 2층 (자양동)",기타 휴게음식점,"37.5358089, 127.0684009"
1244,1244,"서울특별시 광진구 자양로 134, 1층 (구의동)",기타 휴게음식점,"37.5287142, 127.0883594"
1245,1245,"서울특별시 광진구 광나루로56길 29, 4층 410호 (구의동)",기타 휴게음식점,"37.53781, 127.09669"
1246,1246,"서울특별시 광진구 광나루로 448, 2층 (화양동)",기타 휴게음식점,"37.54006, 127.09724"
1247,1247,"서울특별시 광진구 아차산로 630, 1층 (광장동)",기타 휴게음식점,"37.538847, 127.0919729"
1248,1248,"서울특별시 광진구 천호대로 650, 1층 (능동)",기타 휴게음식점,"37.5534728, 127.0884141"
1249,1249,"서울특별시 광진구 아차산로 224, 3층 (자양동)",일반조리판매,"37.538847, 127.0919729"
1250,1250,"서울특별시 광진구 광나루로 432, 1층 (화양동)",패스트푸드,"37.54006, 127.09724"
1251,1251,"서울특별시 광진구 능동로 137, 1층 (화양동)",기타 휴게음식점,"37.5340314, 127.0678046"
1252,1252,"서울특별시 광진구 아차산로39길 16, 1층 (자양동)",일반조리판매,"37.5387705, 127.0767158"
1253,1253,"서울특별시 광진구 군자로10길 26, 1층 (군자동)",기타 휴게음식점,"37.5495054, 127.0724805"
1254,1254,"서울특별시 광진구 자양번영로 20, 1층 (자양동)",편의점,"37.529737, 127.0746347"
1255,1255,"서울특별시 광진구 뚝섬로 469, 1층 (자양동)",편의점,"37.53347, 127.0883"
1256,1256,"서울특별시 광진구 아차산로 334-1, 1층 (자양동)",기타 휴게음식점,"37.5407603, 127.0679553"
1257,1257,"서울특별시 광진구 뚝섬로34길 67, 1층 105호 (자양동)",커피숍,"37.531672799999996, 127.06834664793004"
1258,1258,"서울특별시 광진구 아차산로 200, 3층 (자양동)",커피숍,"37.538847, 127.0919729"
1259,1259,"서울특별시 광진구 강변역로 50, 2층 18호 (구의동)",기타 휴게음식점,"37.5346195, 127.0941531"
1260,1260,"서울특별시 광진구 동일로52길 24, 1층 (군자동)",커피숍,"37.5545518, 127.0720904"
1261,1261,"서울특별시 광진구 아차산로 244, 지1층 (자양동)",일반조리판매,"37.538368, 127.090389"
1262,1262,"서울특별시 광진구 능동로 209, 5층 514호 (군자동)",기타 휴게음식점,"37.5510717, 127.0752624"
1263,1263,"서울특별시 광진구 구의강변로 96, 1층 102호 (구의동)",기타 휴게음식점,"37.53552, 127.09211"
1264,1264,"서울특별시 광진구 동일로 391, 1층 (중곡동)",커피숍,"37.5393636, 127.0624104"
1265,1265,"서울특별시 광진구 군자로10길 31, 1층 101호 (군자동)",기타 휴게음식점,"37.54927625, 127.0723045840864"
1266,1266,"서울특별시 광진구 동일로34길 26, 1층 (군자동)",기타 휴게음식점,"37.5504665, 127.0696606"
1267,1267,"서울특별시 광진구 자양로22길 23, 1층 (구의동)",커피숍,"37.5396939, 127.0857016"
1268,1268,"서울특별시 광진구 자양번영로1길 22, 1층 (자양동)",기타 휴게음식점,"37.5308138, 127.0734922"
1269,1269,"서울특별시 광진구 긴고랑로 42-1, 1층 (중곡동)",기타 휴게음식점,"37.56369, 127.0782554"
1270,1270,"서울특별시 광진구 아차산로69길 4, 1층 (광장동)",기타 휴게음식점,"37.5428876, 127.0984083"
1271,1271,"서울특별시 광진구 능동로 92, 지층 (자양동)",기타 휴게음식점,"37.538956049999996, 127.07142585170553"
1272,1272,"서울특별시 광진구 용마산로3길 32, 1층 (중곡동)",기타 휴게음식점,"37.55620265, 127.08622145387324"
1273,1273,"서울특별시 광진구 자양로45길 39, 1층 (중곡동)",기타 휴게음식점,"37.5539045, 127.0904232"
1274,1274,"서울특별시 광진구 용마산로 111, 1층 (중곡동)",커피숍,"37.5678699, 127.0861846"
1275,1275,"서울특별시 광진구 아차산로34길 26, 2층 (자양동)",커피숍,"37.5392766, 127.0694021"
1276,1276,"서울특별시 광진구 아차산로 503-23, 상가동 지1층 23호 (광장동)",패스트푸드,"37.538847, 127.0919729"
1278,1278,"서울특별시 광진구 뚝섬로27길 55, 1층 (자양동)",패스트푸드,"37.536557, 127.0661265"
1279,1279,"서울특별시 광진구 능동로 92, 1층 (자양동)",기타 휴게음식점,"37.538956049999996, 127.07142585170553"
1280,1280,"서울특별시 광진구 천호대로127길 24, 1층 (중곡동)",기타 휴게음식점,"37.5543393, 127.0909009"
1281,1281,"서울특별시 광진구 면목로 192, 1층 (중곡동)",커피숍,"37.5671595, 127.0819519"
1282,1282,"서울특별시 광진구 천호대로 647, 1층 (중곡동)",기타 휴게음식점,"37.5534728, 127.0884141"
1283,1283,"서울특별시 광진구 광나루로56길 85, 지1층 (구의동)",기타 휴게음식점,"37.5349372, 127.0957088"
1284,1284,"서울특별시 광진구 긴고랑로 152, 지하1층 (중곡동)",기타 휴게음식점,"37.56369, 127.0782554"
1285,1285,"서울특별시 광진구 자양로 177, 1층 (구의동)",커피숍,"37.5287142, 127.0883594"
1286,1286,"서울특별시 광진구 동일로 166, 1층 (화양동)",기타 휴게음식점,"37.5393636, 127.0624104"
1287,1287,"서울특별시 광진구 긴고랑로44길 6, 지1층 (중곡동)",커피숍,"37.5591433, 127.0949558"
1288,1288,"서울특별시 광진구 광장로1길 26, 1층 (광장동)",패스트푸드,"37.547471, 127.1030548"
1289,1289,"서울특별시 광진구 능동로 90, 1층 (자양동)",커피숍,"37.53833375, 127.07090505"
1291,1291,"서울특별시 광진구 자양번영로1길 22, 1층 (자양동)",커피숍,"37.5308138, 127.0734922"
1292,1292,"서울특별시 광진구 능동로 268, 1층 101호 (능동)",기타 휴게음식점,"37.5538164, 127.0779179"
1293,1293,"서울특별시 광진구 능동로13길 106, 1층 (화양동)",커피숍,"37.54449, 127.0694089"
1294,1294,"서울특별시 광진구 면목로 192, 1층 (중곡동)",기타 휴게음식점,"37.5671595, 127.0819519"
1296,1296,"서울특별시 광진구 능동로 92, 지1층 (자양동)",커피숍,"37.538956049999996, 127.07142585170553"
1297,1297,"서울특별시 광진구 군자로 49, 2층 (화양동)",일반조리판매,"37.5433395, 127.071636"
1298,1298,"서울특별시 광진구 능동로 92, 지층 (자양동)",기타 휴게음식점,"37.538956049999996, 127.07142585170553"
1299,1299,"서울특별시 광진구 천호대로127길 44, 지1층 (중곡동)",커피숍,"37.5543393, 127.0909009"
1300,1300,"서울특별시 광진구 군자로 107, 1층 (군자동)",기타 휴게음식점,"37.5433395, 127.071636"
1301,1301,"서울특별시 광진구 면목로 58, 1층 (중곡동)",일반조리판매,"37.5671595, 127.0819519"
1302,1302,"서울특별시 광진구 능동로 92, 10층 (자양동)",기타 휴게음식점,"37.538956049999996, 127.07142585170553"
1303,1303,"서울특별시 광진구 능동로 92, 지층 (자양동)",기타 휴게음식점,"37.538956049999996, 127.07142585170553"
1304,1304,"서울특별시 광진구 강변역로4길 10, 1층 110호 (구의동)",커피숍,"37.53441, 127.09268"
1305,1305,"서울특별시 광진구 동일로28길 48, 1층 101호 (화양동)",기타 휴게음식점,"37.5458699, 127.0700341"
1306,1306,"서울특별시 광진구 뚝섬로 541, 1층 (자양동)",기타 휴게음식점,"37.53347, 127.0883"
1307,1307,"서울특별시 광진구 용마산로 40, 1층 (중곡동)",기타 휴게음식점,"37.5678699, 127.0861846"
1308,1308,"서울특별시 광진구 능동로 92, 지층 (자양동)",기타 휴게음식점,"37.538956049999996, 127.07142585170553"
1309,1309,"서울특별시 광진구 아차산로65길 78, 1층 (구의동)",일반조리판매,"37.5423162, 127.0924311"
1310,1310,"서울특별시 광진구 동일로 114, 1층 (화양동)",커피숍,"37.5426714, 127.0646503"
1311,1311,"서울특별시 광진구 동일로 74, 1층 (자양동)",기타 휴게음식점,"37.5393636, 127.0624104"
1312,1312,"서울특별시 광진구 뚝섬로54길 46, 1층 (자양동)",커피숍,"37.5297019, 127.08053"
1313,1313,"서울특별시 광진구 군자로 166, 1층 (군자동)",커피숍,"37.5433395, 127.071636"
1314,1314,"서울특별시 광진구 광나루로56길 85, 지하1층 (구의동)",일반조리판매,"37.5349372, 127.0957088"
1315,1315,"서울특별시 광진구 광나루로 441, 1층 (능동)",일반조리판매,"37.5468262, 127.0766379"
1316,1316,"서울특별시 광진구 능동로35길 34, 1층 (군자동)",기타 휴게음식점,"37.5570836, 127.0775605"
1317,1317,"서울특별시 광진구 광나루로24길 8, 1층 (화양동)",기타 휴게음식점,"37.5453422, 127.0791408"
1318,1318,"서울특별시 광진구 아차산로29길 44, 1층 (화양동)",기타 휴게음식점,"37.5425828, 127.0689288"
1319,1319,"서울특별시 광진구 군자로 27, 1층 (화양동)",기타 휴게음식점,"37.5433395, 127.071636"
1320,1320,"서울특별시 광진구 동일로20길 64, 2층 (자양동)",커피숍,"37.5405118, 127.0668855"
1321,1321,"서울특별시 광진구 용마산로 127, 1층 (중곡동, 국립정신건강센터)",기타 휴게음식점,"37.56499305, 127.08573484614999"
1322,1322,"서울특별시 광진구 뚝섬로58길 6, 1층 (자양동)",기타 휴게음식점,"37.5293201, 127.0844977"
1323,1323,"서울특별시 광진구 동일로30길 52, 1층 (화양동)",기타 휴게음식점,"37.5475933, 127.0685291"
1325,1325,"서울특별시 광진구 동일로18길 31, 1층 (자양동)",편의점,"37.5390686, 127.0661496"
1328,1328,"서울특별시 광진구 뚝섬로27길 37, 1층 (자양동)",커피숍,"37.536557, 127.0661265"
1329,1329,"서울특별시 광진구 뚝섬로 596, 1층 (자양동)",기타 휴게음식점,"37.53347, 127.0883"
1330,1330,"서울특별시 광진구 긴고랑로 115, 1층 (중곡동)",기타 휴게음식점,"37.56369, 127.0782554"
1331,1331,"서울특별시 광진구 광나루로 606, 1층 (구의동)",기타 휴게음식점,"37.54006, 127.09724"
1332,1332,"서울특별시 광진구 구의로 4, 1층 (구의동)",커피숍,"37.537839, 127.089116"
1333,1333,"서울특별시 광진구 능동로 92, 지1층 (자양동)",커피숍,"37.538956049999996, 127.07142585170553"
1334,1334,"서울특별시 광진구 워커힐로 177, 지층 (광장동)",키즈카페,"37.5553271, 127.1101533"
1335,1335,"서울특별시 광진구 아차산로 205, 101-1호 (화양동)",커피숍,"37.538847, 127.0919729"
1336,1336,"서울특별시 광진구 강변북로 139, 1층 (자양동)",푸드트럭,"37.5385782, 127.1008656"
1337,1337,"서울특별시 광진구 강변북로 139, 1층 (자양동)",푸드트럭,"37.5385782, 127.1008656"
1338,1338,"서울특별시 광진구 강변북로 139, 1층 (자양동)",푸드트럭,"37.5385782, 127.1008656"
1339,1339,"서울특별시 광진구 강변북로 139, 1층 (자양동)",푸드트럭,"37.5385782, 127.1008656"
1340,1340,"서울특별시 광진구 강변북로 139, 1층 (자양동)",푸드트럭,"37.5385782, 127.1008656"
1341,1341,"서울특별시 광진구 강변북로 139, 1층 (자양동, 뚝섬유원지 수변마당 및 분수광장 음수대 일대)",푸드트럭,"37.5385782, 127.1008656"
1342,1342,"서울특별시 광진구 강변북로 139, 1층 (자양동)",푸드트럭,"37.5385782, 127.1008656"
1343,1343,"서울특별시 광진구 광나루로24길 15, 1층 (화양동)",기타 휴게음식점,"37.5453422, 127.0791408"
1344,1344,"서울특별시 광진구 아차산로40길 33, 1층 5,6호 (자양동)",기타 휴게음식점,"37.5363051, 127.0781832"
1345,1345,"서울특별시 광진구 군자로 121, 지층 (군자동)",기타 휴게음식점,"37.55373495, 127.07291344015249"
1346,1346,"서울특별시 광진구 아차산로29길 8, 1층 (화양동)",기타 휴게음식점,"37.5425828, 127.0689288"
1347,1347,"서울특별시 광진구 동일로20길 106, 1층 (자양동)",일반조리판매,"37.5405118, 127.0668855"
1348,1348,"서울특별시 광진구 긴고랑로13길 77, 1층 (중곡동)",기타 휴게음식점,"37.5631813, 127.0819859"
1349,1349,"서울특별시 광진구 능동로 216, 1층 (능동)",커피숍,"37.5340314, 127.0678046"
1350,1350,"서울특별시 광진구 능동로 216, 3층 (능동)",커피숍,"37.5340314, 127.0678046"
1351,1351,"서울특별시 광진구 뚝섬로 599, 1층 (자양동)",편의점,"37.53347, 127.0883"
1352,1352,"서울특별시 광진구 아차산로 224, 2층 2호 (자양동)",기타 휴게음식점,"37.538847, 127.0919729"
1353,1353,"서울특별시 광진구 능동로13길 39, 1층 (화양동)",편의점,"37.543819, 127.0698061"
1354,1354,"서울특별시 광진구 용마산로 40, 1층 (중곡동)",기타 휴게음식점,"37.5678699, 127.0861846"
1355,1355,"서울특별시 광진구 능동로 125, 2층 (화양동)",기타 휴게음식점,"37.5340314, 127.0678046"
1356,1356,"서울특별시 광진구 아차산로76길 32, 1층 (광장동)",편의점,"37.5467113, 127.1076358"
1357,1357,"서울특별시 광진구 아차산로 455, 1층 (구의동)",기타 휴게음식점,"37.538847, 127.0919729"
1358,1358,"서울특별시 광진구 군자로17길 41, 1층 (군자동)",기타 휴게음식점,"37.5561332, 127.0768536"
1359,1359,"서울특별시 광진구 광나루로 346, 1층 103호 (화양동)",기타 휴게음식점,"37.54006, 127.09724"
1360,1360,"서울특별시 광진구 워커힐로 177, 지하2층 (광장동)",기타 휴게음식점,"37.5553271, 127.1101533"
1361,1361,"서울특별시 광진구 동일로70길 9, 1층 (중곡동)",커피숍,"37.5639791, 127.0785298"
1362,1362,"서울특별시 광진구 천호대로127길 13, 1층 (중곡동)",편의점,"37.5543393, 127.0909009"
1363,1363,"서울특별시 광진구 용마산로22길 13, 2층 (중곡동)",기타 휴게음식점,"37.5636661, 127.0882127"
1364,1364,"서울특별시 광진구 용마산로 162, 1층 (중곡동)",커피숍,"37.5678699, 127.0861846"
1365,1365,"서울특별시 광진구 아차산로66길 66, 1층 (광장동)",기타 휴게음식점,"37.541444, 127.0991034"
1366,1366,"서울특별시 광진구 뚝섬로 621, 2층 (자양동)",기타 휴게음식점,"37.53347, 127.0883"
1367,1367,"서울특별시 광진구 아차산로 471, 1층 (구의동, CS프라자)",기타 휴게음식점,"37.538847, 127.0919729"
1368,1368,"서울특별시 광진구 능동로 123, 3층 (화양동)",일반조리판매,"37.5340314, 127.0678046"
1369,1369,"서울특별시 광진구 면목로 59, 1층 (중곡동)",커피숍,"37.5671595, 127.0819519"
1370,1370,"서울특별시 광진구 능동로 290, 지1층 (능동, 삼일빌딩)",일반조리판매,"37.5340314, 127.0678046"
1371,1371,"서울특별시 광진구 광나루로37길 21, 1층 (구의동)",기타 휴게음식점,"37.5457324, 127.088457"
1372,1372,"서울특별시 광진구 뚝섬로34길 67, 1층 101-2호 (자양동)",일반조리판매,"37.531672799999996, 127.06834664793004"
1373,1373,"서울특별시 광진구 아차산로 624, 1층 (광장동)",기타 휴게음식점,"37.538847, 127.0919729"
1374,1374,"서울특별시 광진구 아차산로39길 8, 1층 (자양동)",기타 휴게음식점,"37.5381412, 127.0788822"
1375,1375,"서울특별시 광진구 능동로 209, 1층 (군자동, 세종대학교)",푸드트럭,"37.5510717, 127.0752624"
1376,1376,"서울특별시 광진구 천호대로136길 46, 1층 (구의동)",기타 휴게음식점,"37.547771, 127.0902816"
1377,1377,"서울특별시 광진구 천호대로111길 14, 1층 (중곡동)",기타 휴게음식점,"37.5582115, 127.0829527"
1378,1378,"서울특별시 광진구 면목로 151, 1층 (중곡동)",커피숍,"37.5671595, 127.0819519"
1379,1379,"서울특별시 광진구 뚝섬로35길 23, 1층 (자양동)",전통찻집,"37.5353033, 127.0713147"
1380,1380,"서울특별시 광진구 능동로13길 50, 1층 (화양동)",일반조리판매,"37.54449, 127.0694089"
1381,1381,"서울특별시 광진구 용마산로 93, 1층 (중곡동)",기타 휴게음식점,"37.5678699, 127.0861846"
1382,1382,"서울특별시 광진구 천호대로111길 19, 1층 (중곡동, 우진빌딩)",커피숍,"37.557352550000004, 127.08231075"
1383,1383,"서울특별시 광진구 천호대로114길 15, 1층 (능동)",편의점,"37.5540775, 127.0821009"
1384,1384,"서울특별시 광진구 뚝섬로 552, 1층 107,108호 (자양동)",기타 휴게음식점,"37.53347, 127.0883"
1385,1385,"서울특별시 광진구 자양로 213, 1층 (구의동)",기타 휴게음식점,"37.5287142, 127.0883594"
1386,1386,"서울특별시 광진구 자양로50길 48, 1층 (구의동)",편의점,"37.552399, 127.0947325"
1387,1387,"서울특별시 광진구 자양로3길 61, 1층 (자양동)",일반조리판매,"37.5305798, 127.0839974"
1388,1388,"서울특별시 광진구 능동로 153-1, 1층 (화양동)",커피숍,"37.5424924, 127.071777"
1389,1389,"서울특별시 광진구 아차산로 306, 1층 101호 (자양동)",커피숍,"37.538847, 127.0919729"
1390,1390,"서울특별시 광진구 뚝섬로38길 8, 1층 (자양동)",기타 휴게음식점,"37.533507, 127.0729383"
1391,1391,"서울특별시 광진구 광나루로 532, 1층 1호 (구의동)",기타 휴게음식점,"37.54006, 127.09724"
1392,1392,"서울특별시 광진구 능동로 92, 지하1층 (자양동)",일반조리판매,"37.538956049999996, 127.07142585170553"
1393,1393,"서울특별시 광진구 능동로13길 39, 1층 (화양동)",기타 휴게음식점,"37.543819, 127.0698061"
1394,1394,"서울특별시 광진구 능동로 209, 1층 (군자동, 학생회관)",패스트푸드,"37.5510717, 127.0752624"
1395,1395,"서울특별시 광진구 아차산로 272, 지하1층 (자양동)",커피숍,"37.538418, 127.07323878135787"
1396,1396,"서울특별시 광진구 면목로 104, 1층 (중곡동)",커피숍,"37.5671595, 127.0819519"
1397,1397,"서울특별시 광진구 군자로 43, 지하1층 (화양동)",일반조리판매,"37.5433395, 127.071636"
