,Unnamed: 0,도로명주소,업태구분명,좌표
251,251,"서울특별시 광진구 천호대로 635, 1층 (중곡동)",기타 휴게음식점,"37.5534728, 127.0884141"
256,256,"서울특별시 광진구 능동로51길 27, 1층 (중곡동)",기타 휴게음식점,"37.5661935, 127.0827744"
268,268,서울특별시 광진구 능동로 216 (능동),패스트푸드,"37.55512, 127.07864"
280,280,"서울특별시 광진구 용마산로5길 8, 1층 (중곡동)",일반조리판매,"37.5574786, 127.0855843"
290,290,"서울특별시 광진구 자양로15길 95, 1층 (자양동)",일반조리판매,"37.5340385, 127.0783474"
298,298,"서울특별시 광진구 광장로5길 6, 1층 (광장동)",커피숍,"37.5485964, 127.1048619"
299,299,"서울특별시 광진구 아차산로21길 15, 1층 (화양동)",커피숍,"37.5457864, 127.0669574"
304,304,서울특별시 광진구 아차산로78길 182 (광장동),일반조리판매,"37.5515555, 127.111145"
306,306,"서울특별시 광진구 능동로 110, 스타시티영존빌딩 1층2층 (화양동)",패스트푸드,"37.5340314, 127.0678046"
311,311,"서울특별시 광진구 광장로 73, 1층 (광장동)",커피숍,"37.5473486, 127.1041974"
313,313,서울특별시 광진구 뚝섬로 552 (자양동),일반조리판매,"37.5315073, 127.0805619"
327,327,"서울특별시 광진구 면목로 163, 1층 (중곡동)",일반조리판매,"37.5671595, 127.0819519"
337,337,"서울특별시 광진구 뚝섬로 476 (자양동,(3층))",일반조리판매,"37.5315073, 127.0805619"
350,350,"서울특별시 광진구 능동로 179, 2층 (화양동)",일반조리판매,"37.5340314, 127.0678046"
354,354,"서울특별시 광진구 광나루로 424 (화양동,(1층))",일반조리판매,"37.5479106, 127.0694072"
355,355,"서울특별시 광진구 군자로 107 (군자동,(1층))",일반조리판매,"37.5551426, 127.0759466"
371,371,"서울특별시 광진구 능동로 90, 더클래식500 지하1층 CB102호 (자양동)",일반조리판매,"37.53833375, 127.07090505"
